task	human_success_rate	best_published_agent_success_rate	human_source	best_agent_source	source_version_match	metric	absence_or_comparability_note
circle-center	0.96	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-button	0.98	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-button-sequence	0.94	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-checkboxes	0.97	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-checkboxes-large	0.87	0.71	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-checkboxes-soft	0.73	0.95	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-checkboxes-transfer	0.98	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-collapsible	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-collapsible-2	0.97	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-collapsible-2-nodelay					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
click-collapsible-nodelay					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
click-color	0.97	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-dialog	1.00	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-dialog-2	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-link	0.99	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-menu	0.97	0.94	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-menu-2	0.98	0.83	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-option	0.99	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-pie	0.98	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-pie-nodelay					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
click-scroll-list	0.91	0.60	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-shades	0.91	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-shape	0.88	0.95	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-tab	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-tab-2	0.97	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-tab-2-easy	0.99	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-tab-2-hard	0.96	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-tab-2-medium	0.97	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-test	1.00	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-test-2	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-test-transfer	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
click-widget	0.83	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
copy-paste	0.94	0.79	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
copy-paste-2	0.94	0.63	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
count-shape	0.82	0.85	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
count-sides	0.98	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
daily-calendar					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
drag-box	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
drag-circle					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
drag-cube	0.99	0.79	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
drag-items	0.93	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
drag-items-grid	0.87	0.98	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
drag-shapes	0.96	0.99	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
drag-shapes-2					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
drag-single-shape					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
drag-sort-numbers	0.92	0.97	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
draw-circle					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
draw-line					n/a		Not listed in Humphreys et al. (2022) Table 3; no published per-task number was found in the cited primary source; blank, never estimated.
email-inbox	0.96	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-delete	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-forward	0.96	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-forward-nl	0.91	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-forward-nl-turk	0.88	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-important	0.99	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-nl-turk	0.93	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
email-inbox-noscroll	0.96	1.00	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf	Humphreys et al. (2022), Table 3, PDF pp. 14-15, https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf; CC-Net column	no	mean MiniWoB++ task score; not our binary success	Direct human and CC-Net rows from Table 3. External-study columns were excluded because the paper says some are estimated; the paper does not establish BrowserGym/Farama miniwob 1.1.0, binary success, or our 10-step cap.
