# source_url: https://proceedings.mlr.press/v162/humphreys22a/humphreys22a.pdf
# source_sha256: ba2a9a0a5e46aa5f34cfc720ac08049253917407e2fbd4a8cdbd2c8ca3ec8455
# table: 3 (pdftotext -layout extraction; per-task lines)
task	human_success_rate	cc_net_mean_score	world_of_bits_bc_rl	workflow_guided_exploration_bc_rl	learning_to_navigate_web_rl	q_net_rl	workflow_guided_exploration_augmented	learning_to_navigate_web_augmented	aggregated_sota_bc_rl	aggregated_sota_augmented
email-inbox-forward-nl-turk	0.88	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox-forward-nl	0.91	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox-forward	0.96	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox-important	0.99	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox-nl-turk	0.93	1.00	n/a	0.77	n/a	n/a	0.93	n/a	0.77	0.93
email-inbox-noscroll	0.96	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox-reply	0.91	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox-star-reply	0.95	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
email-inbox	0.96	1.00	0.03	0.43	n/a	0.54	0.99	n/a	0.54	0.99
enter-date	0.97	1.00	0.61	0.00	1.00	n/a	0.96	1.00	1.00	1.00
enter-password	0.96	1.00	0.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00
enter-text-2	0.91	0.98	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
enter-text-dynamic	0.97	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
enter-text	0.98	1.00	0.00	1.00	n/a	1.00	1.00	n/a	1.00	1.00
enter-time	0.98	0.97	0.08	0.52	n/a	n/a	0.90	n/a	0.52	0.90
find-midpoint	0.94	0.97	0.31	n/a	n/a	n/a	n/a	n/a	0.31	0.31
find-word	0.96	0.88	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
focus-text-2	0.99	1.00	0.83	1.00	n/a	1.00	1.00	n/a	1.00	1.00
focus-text	1.00	1.00	0.95	1.00	n/a	1.00	1.00	n/a	1.00	1.00
grid-coordinate	0.87	1.00	0.26	1.00	n/a	n/a	1.00	n/a	1.00	1.00
guess-number	0.99	1.00	0.20	0.00	n/a	n/a	0.00	n/a	0.20	0.20
highlight-text-2	0.97	1.00	0.13	n/a	n/a	n/a	n/a	n/a	0.13	0.13
highlight-text	0.97	1.00	0.90	n/a	n/a	n/a	n/a	n/a	0.90	0.90
identify-shape	0.98	1.00	0.36	0.90	n/a	n/a	1.00	n/a	0.90	1.00
login-user-popup	0.94	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
login-user	0.96	1.00	0.00	0.99	1.00	1.00	1.00	1.00	1.00	1.00
multi-layouts	0.95	1.00	n/a	0.99	n/a	n/a	1.00	n/a	0.99	1.00
multi-orderings	0.96	1.00	n/a	0.05	n/a	n/a	1.00	n/a	0.05	1.00
navigate-tree	0.98	0.99	0.20	0.99	1.00	1.00	0.99	1.00	1.00	1.00
number-checkboxes	0.96	0.99	0.16	n/a	n/a	n/a	n/a	n/a	0.16	0.16
read-table-2	0.95	0.94	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
read-table	0.97	0.97	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
resize-textarea	0.94	1.00	0.11	n/a	n/a	n/a	n/a	n/a	0.11	0.11
right-angle	0.87	0.98	0.38	n/a	n/a	n/a	n/a	n/a	0.38	0.38
scroll-text-2	0.97	1.00	0.96	n/a	n/a	n/a	n/a	n/a	0.96	0.96
scroll-text	0.97	0.96	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
search-engine	0.97	1.00	0.00	0.26	n/a	1.00	0.99	n/a	1.00	1.00
simple-algebra	0.86	0.75	0.04	n/a	n/a	n/a	n/a	n/a	0.04	0.04
simple-arithmetic	0.96	0.86	0.07	n/a	n/a	n/a	n/a	n/a	0.07	0.07
social-media-all	0.89	0.75	n/a	0.01	n/a	n/a	0.01	1.00	0.01	1.00
social-media-some	0.91	0.85	n/a	0.01	n/a	n/a	0.42	n/a	0.01	0.42
social-media	0.96	0.90	0.23	0.39	n/a	1.00	1.00	n/a	1.00	1.00
terminal	0.88	-0.01	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
text-editor	0.88	0.98	0.01	n/a	n/a	n/a	n/a	n/a	0.01	0.01
text-transform	0.86	0.60	0.00	n/a	n/a	n/a	n/a	n/a	0.00	0.00
tic-tac-toe	0.71	0.83	0.34	0.37	n/a	n/a	0.47	n/a	0.37	0.47
unicode-test	0.99	1.00	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
use-autocomplete	0.98	1.00	0.00	0.78	n/a	n/a	0.98	n/a	0.78	0.98
use-colorwheel-2	0.94	0.95	1.00	n/a	n/a	n/a	n/a	n/a	1.00	1.00
use-colorwheel	0.90	0.98	1.00	n/a	n/a	n/a	n/a	n/a	1.00	1.00
use-slider-2	0.97	0.95	0.15	n/a	n/a	n/a	n/a	n/a	0.15	0.15
use-slider	0.98	0.91	0.51	n/a	n/a	n/a	n/a	n/a	0.51	0.51
use-spinner	0.98	1.00	0.17	0.04	n/a	n/a	0.04	n/a	0.17	0.17
visual-addition	0.97	0.99	0.01	n/a	n/a	n/a	n/a	n/a	0.01	0.01
