surface	jev_location	franken_repo	how_we_use_it	packet_TRL	packet_NODUS	packet_CI_class	packet_release_class	claim_we_rely_on	packet_status_of_that_claim	rider	action	reason
oracle-shapes	docs/demos/ORACLE-PROGRAM.md:59	franken_tts	metamorphic invariants cite	7	Explore	C6	R3	metamorphic_invariants.rs:315-505 exists	not-assessed: zero hits in franken_tts-assessment.md	yes	monitor	cited lines never verified by packet
oracle-shapes	docs/demos/ORACLE-PROGRAM.md:61	frankenlibc	memcpy conformance cite	4	Explore	C2	R1	memcpy_strict_conformance_test.rs exists	not-assessed: zero hits in frankenlibc-assessment.md	yes	monitor	same
eval-prior-art	EVAL.md:526-537	asupersync	math cited, promoted=0	6	Pilot	C3	R3	unused math, no promotion	n/a (withheld, not relied upon)	n/a	keep	non-promotion is the honest outcome
eval-prior-art	EVAL.md:526-537	franken_engine	math cited, promoted=0	4-5	Explore	C2	R2	unused math, no promotion	n/a (withheld, not relied upon)	n/a	keep	same
eval-prior-art	EVAL.md:526-537	skillranker (outside the 44)	math cited, promoted=0	none	none	none	none	unused math, no promotion	no packet (outside corpus)	none	keep	same
eval-verify	EVAL.md:750;NEGATIVE_EVIDENCE.md:2688	frankengit	verify.sh:55-60 cited	4	Explore	C3	R1	verify spec exists	verified present (frankengit-assessment.md:18)	yes	keep	existence verified
eval-convention	EVAL.md:941,943	frankengraphdb	constitution and registries cited	4	Explore	C5	R1	AGENTS.md doctrine and constitution.toml exist	verified present (frankengraphdb-assessment.md:39)	yes	keep	doctrine verified present at origin
eval-convention	EVAL.md:963,970	frankenpandas	TESTING_CONVENTION and history-blind cited	4-5	Explore	C2	R2	convention doc exists	not-assessed: zero hits in frankenpandas-assessment.md	yes	monitor	convention inspiration, origin unverified
hook-convention	githooks/commit-msg-verification-level.sh:4-6	franken_lean	subject-tag vocabulary precedent	4	Explore	C2	R1	level tags exist	partially: lean AGENTS.md read by analyst; level-tag vocabulary not assessed	yes	keep	local convention; no origin proof claimed
hook-convention	githooks/commit-msg-verification-level.sh:4-6	frankensqlite	subject-tag vocabulary precedent	6	Explore	C5	R3	lexer-level tags exist	not-assessed: sqlite packet covers parser/lexer fuzz, not tag vocabulary	yes	keep	same
starterkit-ports	foundation/kit/check-claim-discipline.sh:2;foundation/kit/check-readiness.sh:2;foundation/gates.d/15-kit-claim.sh:3	assessment-pack itself (not a repo)	ports with documented /bin/sh fixes	n/a	n/a	n/a	n/a	ports see enforce=yes where zip is blind	demonstrated (notes/v8-checker-challenge.md, both selftests green)	n/a	keep	measured, not cited
essays-prior-art	docs/demos/upstream-repro/franken-crate-alpha-20260919.md (68 hits);docs/essays/*;docs/demos/dispatch/*	frankenterm;frankenmermaid;frankensqlite;franken_ocr;frankensearch	essays cite repos as prior art and mining venues	mixed	mixed	mixed	mixed	cited as read, never as executed	n/a (reading, not relying)	mixed	keep	prior-art citation is not a dependency; no execution claim made
skill-shape	AGENTS.md mines skillranker@3fe85c4	skillranker (outside the 44)	AGENTS.md canonical shape adopted	none	none	none	none	shape works	no packet (outside corpus)	none	keep	adopted mechanism with own evidence; Rule 12
PLANTED-NEGATIVE	method check	franken_remote	jev does not use it	3-4	Explore	C3	R1	n/a	n/a: zero hits in full tree (git ls-files | xargs rg -i franken_remote; 0 files)	yes	none	method returns zero as required
FEASIBILITY	AGENTS.md:642 plus 80 more lines	frankensearch	method must return hits	5-6	Explore	C5	R3	index answers	counted	yes	n/a	81 cite lines; arm passes
DATA-CORPORA	work/*/corpus*.jsonl (757+757 lines);docs/demos/duel-2/runs/*.json;notes/rerank-*-pairs.jsonl;work/toolcall-judge-v3/*.json;work/jev-real-corpus-eval/*;5 work/nev-*/*.jsonl excluded per packet	various (repo paths inside data strings)	rows mention repo paths as data, not as tools	n/a	n/a	n/a	n/a	none made	excluded: data, not dependency	mixed	none	stated exclusion with file list
BOOKKEEPING	.beads/issues.jsonl (8 hits);notes/deep/dispatch/p*-wave1.md;docs/PLAN-DEEP-KIT-20260922.md (21 hits)	various	bead and packet text names repos	n/a	n/a	n/a	n/a	none made	excluded: lane bookkeeping	mixed	none	stated exclusion
tool-invocation	~/.omp/profiles/grok+muse/agent/sessions/-Developer-jev/;~/.omp/agent/sessions/-Developer-jev/	franken-harvest (outside the 44)	39 of 7874 bash calls invoke fh (grok 2/967; muse 35/5872; default 2/1035; segment-start count)	none	none	none	none	index answers over the mirror	no packet (outside corpus)	none	keep	heaviest franken-derived tool use in-session; no origin claim beyond the index
tool-invocation	same three corpora	beads_rust (outside the 44)	691 of 7874 invoke br (48; 496; 147)	none	none	none	none	tracker ops	no packet	none	keep	workflow backbone; origin unassessed by pack
tool-invocation	same three corpora	bv repo (outside the 44)	14 of 7874 invoke bv (0; 7; 7)	none	none	none	none	triage queries	no packet	none	keep	companion to br
tool-invocation	same three corpora	riprewire (outside the 44)	8 of 7874 invoke ripwire (2; 2; 4)	none	none	none	none	code-context queries	no packet	none	keep	cold-map and reuse checks
tool-invocation	same three corpora	cass (outside the 44)	34 of 7874 invoke cass (0; 1; 33)	none	none	none	none	session search	no packet	none	keep	prior-session mining
tool-invocation	same three corpora	frankenterm	0 functional of 7874; presence-probed only (which-loop, no invocation)	7	Explore	C6	R3	none invoked	n/a: installed at ~/.local/bin/ft (cargo install string names Dicklesworthstone/frankenterm)	yes	none	installed but never called in-session
tool-invocation	same three corpora	franken_tts	0 of 7874	7	Explore	C6	R3	none invoked	n/a: installed at ~/.local/bin/ftts (strings name Dicklesworthstone/franken_tts)	yes	none	same
tool-invocation	same three corpora	franken_markdown	0 of 7874	7	Explore	C5	R3	none invoked	n/a: installed at ~/.local/bin/fmd (strings name franken_markdown)	yes	none	same
tool-invocation	same three corpora	frankensqlite	0 of 7874; 14 anyword hits all log-filter strings (grep -v fsqlite)	6	Explore	C5	R3	none invoked	n/a: installed at ~/.cargo/bin/fsqlite	yes	none	filters prove br runs on fsqlite, not that panes call it
tool-invocation	same three corpora	unidentified (no packet)	0 of 7874	none	none	none	none	none invoked	source repo unidentified from binary evidence (installed at ~/.local/bin/fsw)	unknown	none	cannot tier what cannot be sourced
tool-invocation	same three corpora	n/a (no morph binary on PATH)	0; hits are prose inside ntm message strings and a ttsr test string	n/a	n/a	n/a	n/a	none	n/a	n/a	none	mention is not invocation
