id	source	jev_status	evidence	executes	execution_evidence	smallest_honest_version	cost	defect_class_it_catches	rule12	refusal_fields	falsification_experiment
G7	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 7	PARTIAL	adapter @ adffc2e keyless arm 40/40 green today; live same-state head-to-head NOT run now (needs OPENAI+ANTHROPIC+TYPESAFE keys per test_client_with_live_apis.py:16-17); precedent receipt EVAL.md:1207-1226 (2026-09-21)	yes	.venv pytest fake-model -> 40 passed run now by 2 workers; live arm receipted-not-rerun	run same state+questions through adapter vs Jev once	1 run + receipt	self-speedup sold as win	adopt		Run incumbent head-to-head: differential result differs from floor-only verdict or floor sufficed.
G8	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 8	PARTIAL	receipts carry started_at/model/fixture-sha (packet.md:67); lack commit/host/worker; generation binding stated not enforced	no	schema observed, binding not executed	add commit/host/worker fields + cross-generation refusal	1 schema change	stale receipts cited across generations	adopt		Cite one receipt across generations: refused or binding is prose.
G9	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 9	HAVE	claims.tsv:2 official-sdk enforced; stage-15 --selftest exit 0 run now; plant exit 1 run now	yes	15-kit-claim.sh --selftest -> exit 0; /tmp/p4-plant -> exit 1 naming p4-plant-row	already landed	0	prose outrunning proof	refuse		Not refused; enforced on one claim, registry open for more.
G10	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 10	HAVE	NEGATIVE_EVIDENCE.md R1-R5 verdict+retry rows; 17 retry hits	yes	rows observed in tree with retry predicates	already landed	0	relitigated losses	refuse		Not refused; ledger is the lane memory.
G11	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 11	GAP	no VOID rows, no resurrection cadence, no adjudication pass	no	nothing to run	one resurrection pass over NEGATIVE_EVIDENCE.md	2 hours	void rejections burying live levers	adopt		Re-audit REJECT rows: >=1 VOID surfaces or ledger was already sound.
G12	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 12	PARTIAL	pane-5 table + samples a/b/c one-shots; 97 live PASS (repaired); 97 --selftest exit series 1,1,0x5+0 with identical arms-ok output, root cause open	no	97 live exit 0; selftest 8-run series recorded	repair 97 + quarterly coverage number	1 repair + cadence	claims breeding faster than registry	adopt		Re-run coverage: number moves or audit is a snapshot.
G13	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 13	HAVE	RED arms fire on plants (97 arms print rc=1 on miscount/stale/not-run plants); 97 live check GREEN now (repaired); full gates.sh 17/17 ALL GREEN exit 0 (239s) incl stage 80 (202s), run now by second worker	yes	plant trips observed in arm output; gates.sh aggregate exit 0	already landed	0	gates that cannot fail	adopt		Already falsifying continuously: 97 RED is the live specimen.
G14	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 14	HAVE	AGENTS.md:675 Boundary mandatory; EVAL.md entries carry Boundary; packet acceptances carry NO-CLAIM	yes	Boundary lines observed across EVAL.md and dispatch callbacks	already landed	0	unbounded claim blast radius	refuse		Not refused; the boundary is the trust mechanism.
G15	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 15	GAP	no terminating verdict exists; hardest outcome is a GAP row	no	nothing to run	none proposed	0	none	refuse	cost a kill-criteria doc nobody would invoke; missed class: none observed (nothing here warrants termination); lose: nothing	No falsification proposed; refusal stands until a terminable claim exists.
G16	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 16	PARTIAL	packet.md:83-87 declares admissible proofs + explicit non-proof list; nothing enforces per-bead category	no	prose only	mandatory proof_category bead line + attestation check	1 convention	proof disputes argued from scratch	refuse	cost convention + lint; missed class: none observed (packet taxonomy unused so far); lose: little; revisit on dispute	Require proof_category on new beads: disputes resolve by lookup or taxonomy is unused.
G17	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 17	HAVE	stage 80 detects+runs every stage --selftest; gates.sh 17/17 ALL GREEN exit 0 (239s) with 80 passing (202s); direct exits 15/16/17/checkers 0	yes	gates.sh full run exit 0 + per-stage direct exits 0	already landed	0	trusted-but-untested gates	adopt		Continuous: any new gate without a break-test is refused at review.
G18	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 18	PARTIAL	AGENTS.md:644-658 10 adapted patterns + 2 corollaries; 3 kit items absent: close-pump abuse, scope-splitting, bench-path hardcoding (recounted 2x)	no	doctrine only	adopt 12 verbatim OR record the 10-vs-12 delta with reason	1 edit	unchecked reward hacking	adopt		Grep AGENTS.md for 12 names: all present or delta is the finding.
G19	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 19	PARTIAL	stage 17 missing-proof demotion executes (selftest exit 0 now); D6 expiry/D7 hash/P0/cadence absent	yes	17-kit-demotion.sh --selftest -> exit 0 naming plant; real row HELD	freshness column (C2) + scheduled cadence	1 column + cadence	claims never moving down	adopt		Age one proof past ceiling: demotes or expiry is prose.
G20	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 20	PARTIAL	p4-wave1.md:107-122 review round + DRIVE.md:29 challenge clauses structure second-agent attack; no gate blocks on missing review	no	review happens by orchestration, unmeasured	review-gate: packet unshippable without non-author read	1 convention	author-blind holes	refuse	cost a blocking convention; missed class: none observed (reviews happening: duel-2 ruling, wave challenges); lose: little	Withhold review on one packet: holes survive to ship or review was load-bearing.
G21	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 21	PARTIAL	RULE 12 phase boundary (BUILD/HOLD/AUDIT) + packet gate-thrift; artifacts lack per-item deletion conditions	no	doctrine only	per-artifact consumer/gate/deletion lines	1 pass	unbounded process accretion	adopt		Audit artifacts for deletion conditions: >=1 deleted or accretion is unmeasured.
G22	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 22	PARTIAL	AGENTS.md:1483 landing ritual; EVAL.md appended per session; no hook enforces the five steps	no	ritual by habit, unenforced	landing checklist gate (soft)	1 checklist	hand-off debris	refuse	cost enforcement machinery for a habit currently kept; missed class: none observed; lose: nothing	Skip the ritual once and measure reconstruction cost, or keep the habit.
G23	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md Gate 23	GAP	packet.md:92-96 names waiver fields; zero waivers executed or recorded; no time-bounded machinery	no	nothing to run	first real waiver with owner/rationale/expiry/controls	1 record	secret waivers as gate deletions	adopt		Record one waiver with expiry: expires on time and enforced, or fields are prose.
K1	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 1	PARTIAL	pin jev-1.13.0 at index.ts:32 (overridable); adapter 40/40 green now; head-to-head receipted EVAL.md:1207, not re-run (keyed)	yes	adapter suite run now; live arm receipted-not-rerun	run adapter arm once (see G7)	1 run	1 run	unpinned oracle drift	adopt	See G7 falsification.
K2	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 2	HAVE	br ready -> 4 rows (queue moved 5->4 during pass); WHAT/WHY/ACCEPTANCE beads; deps declared	yes	br ready --json run now by 2 workers	already landed	0	prose plans as instructions	refuse		Not refused; graph is plan of record.
K3	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 3	PARTIAL	dispatch-packet shape conventional; no missing-field machine check	no	see G2	see G2	1 script	1 script	holey tickets	adopt	See G2 falsification.
K4	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 4	PARTIAL	plan §10 + wave packets name exits; unresolved blockers do not machine-block	no	see G3	see G3	1 script	1 script	done-as-feeling	adopt	See G3 falsification.
K5	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 5	PARTIAL	seat-guard 9/9 (3 runs now); githooks/pre-commit invokes zero test suites (grep verified)	yes	suite exit 0 + hook grep zero hits, run now	name per-change commands	1 doc	1 doc	untested landings	adopt	See G5/G6 falsification.
K6	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 6	PARTIAL	model+fixture-sha receipted; commit/host/worker absent	no	see G8	see G8	schema change	schema change	unbound receipts	adopt	See G8 falsification.
K7	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 7	PARTIAL	stage-15 selftest exit 0 (2 runs); coverage samples a/b/c present; 54-claim table unregistered	yes	selftest + ls notes/coverage-sample-*.tsv run now	register coverage-table claims or remove prose	28 rows	28 rows	drifting public wording	adopt	Register-or-remove pass: count drops or discipline is partial.
K8	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 8	HAVE	NEGATIVE_EVIDENCE.md R1-R77+ verdict+predicate rows (recounted)	yes	ledger grep run now	already landed	0	0	relitigation	refuse	See G10.
K9	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 9	PARTIAL	stage-17 slice executes; full downgrade paths absent	yes	stage-17 selftest exit 0 now	see G19	1 column + cadence	1 column + cadence	undemotioned claims	adopt	See G19 falsification.
K10	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 10	PARTIAL	packet.md:92-98 release prose; no .github, no release script (publish-export.sh is export helper); 17 stages have no release verdict	no	absence proved two ways by verifier	see G4	1 workflow	1 workflow	unverified publication	adopt	See G4 falsification.
K11	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 11	PARTIAL	10 adapted = 9 overlap + Cherry-picked N extra; 3 kit items absent (close-pump, scope-splitting, bench-path), recounted 2x	no	AGENTS.md:639-665 + CHECKLIST.md:257-279 full reads by verifier	see G18	1 edit	1 edit	weakened gates	adopt	See G18 falsification.
K12	/tmp/jev-intake/franken-zip/synthesis/planning/execution-readiness.md composite 12	PARTIAL	stage 80 + RED arms + one-shots; gates.sh ALL GREEN now; 97 selftest exit flaky (see G12); no resurrection, no defect campaign	yes	aggregate exit 0 + flake series recorded	see G11/G14/G17	campaign + cadence	campaign + cadence	self-auditing honesty machinery	adopt	See G11/G13/G17 falsification.
P1	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P1	HAVE	git log authors: Josh + Cursor Agent + jev bot, no second human; tmux jev 7 panes; sessions cfsios/jev/omp-test	no	log-author census + pane census run now	no succession plan while a lane	0	abandoned lane	refuse	cost succession machinery for a personal lane; missed class: none; lose: nothing	Second committer appears or pattern persists by design.
P2	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P2	GAP	README.md:194 MIT, license section :192-194 with no rider text	no	license section read	none	0	0	none	refuse	Pattern absent; nothing to adopt.
P3	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P3	HAVE	README.md:188-190 About Contributions refusal blockquote, verbatim	no	contributions section read	none while personal	0	contributor friction	refuse	cost review bandwidth Joshua says he lacks; missed class: none; lose: nothing	Outside contribution lands or refusal stands by owner choice.
P4	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P4	HAVE	LIVE instance: kit-gap-v8.tsv:20 claims no pre-commit hook while githooks/pre-commit is live (2 lanes); prior preparsed --live overclaim repaired mid-pass (lane + receipt landed)	no	hook read + kit-gap line read now	97 repair + coverage cadence	see G12	see G12	drifting public wording	adopt	See G12 falsification.
P5	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P5	HAVE	ls .github absent; README.md:168 no-verify bypass documented in-tree	no	ls .github absent	CI backstop	1 workflow	1 workflow	silent local bypass	adopt	See G4 falsification.
P6	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P6	GAP	no release claims made; nothing to cover	no	no release surface found	none	0	0	none	refuse	Pattern absent; nothing to adopt.
P7	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P7	HAVE	notes/deep/jev-assessment.md EXISTS (30KB, W5.1 landed); W5.2 cold read (plan:357-359) completion unverified	no	ls + plan read run now	second-pane cold read	1 read	1 read	unchecked self-grading	adopt	See plan W5.2 acceptance: dangling references listed or tiers reproduce.
P8	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P8	HAVE	NEGATIVE_EVIDENCE.md 83 R-headers incl dupes (highest R77); 97 retry lines; R6/R25 retry-executed	yes	recounts run now	already landed	0	0	hidden failures	refuse	Not refused; culture present.
P9	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P9	HAVE	.beads/issues.jsonl 107 rows: 70 closed / 18 in_prog / 14 blocked / 5 open; 11 thin closes (ids jev-0c6,jev-cz0,jev-eww,jev-gou,jev-kma,jev-kqf,jev-publish-readme-ho1,jev-vbh.1-4), two routes agree	yes	json census + line-count second route, run now	B13 sweep	1 script	1 script	early closes hiding debt	adopt	See G12/B13: re-open thin closes or count was already clean.
P10	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P10	GAP	agent-authored commits exist but no rider exists to contradict (see P2)	no	see P2	none	0	0	none	refuse	Pattern absent without the rider; nothing to adopt.
P11	/tmp/jev-intake/franken-zip/synthesis/negative-patterns.md P11	HAVE	githooks/pre-commit:39 loop-kit outside repo; fh franken-harvest 0.1.0+tree.520ab18 live coupling	no	hook line + fh --version run now	vendor or pin external deps	1 pin	cut-set freeze	refuse	cost vendoring machinery; missed class: none observed (deps present); lose: little	External dep vanishes: lane halts or coupling was soft.
A1	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A1	HAVE	foundation/kit/packet.md:24-28 non-goals non-empty with named exclusions	no	structure observed	already landed	0	0	scope arguments later	refuse	Not refused; exclusions named.
A2	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A2	HAVE	packet.md:35-37 pins 943158c/118185e/c84d562/SDK 66880cc; SDK HEAD verified 66880ccded6cb6 live; docs/evidence/ absent	no	git rev-parse on vendored SDK run now	verify oracle binaries in docs/evidence/	1 hour	drifting oracle	refuse	cost verification labor for pins already cited; missed class: none observed; lose: little	Run pinned oracle binary: outputs or pin is prose.
A3	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A3	HAVE	foundation/kit/packet.md:44-56 F1/F2 with goal/anchor/target/oracle/fixture/risk/acceptance; 16-kit-readiness --selftest exit 0 now	yes	16-kit-readiness.sh --selftest -> exit 0	already landed	0	0	holey packets	refuse	Not refused; schema present and scored.
A4	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A4	HAVE	foundation/kit/claims.tsv:2 official-sdk enforced + ported checker	yes	stage-15 selftest exit 0 now	already landed	0	0	rationalized claims	refuse	Not refused; registry before claims.
A5	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A5	PARTIAL	ledger R1-R77 retry rows (R2/R3 carry Retry condition: none); no ledger lint lane in hook (grep zero hits)	no	ledger + hook greps run now	ledger-row lint lane	1 lane	1 lane	unlinted ledger rows	adopt	Lint staged ledger rows: rejects a weasel predicate or lint is control.
A6	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A6	HAVE	foundation/kit/demotion-rules.md D1-D7 with origins + execution map	no	file read	port is the item	already landed	0	undocumented demotion	refuse	Not refused; rules written.
A7	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A7	HAVE	foundation/kit/packet.md:100-104 entry/exit proofs + no-OPEN closure	no	section read	already landed	0	0	endless phases	refuse	Not refused; criteria named.
A8	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A8	PARTIAL	AGENTS.md:1046 §4 DoD with command evidence; no docs/definition-of-done.md	no	DoD read, file absent	write docs/definition-of-done.md	1 file	done-as-status	refuse	cost 1 file duplicating AGENTS.md §4; missed class: none (re-anchor target exists in AGENTS.md); lose: nothing	kit-guard re-anchor still points at the absent file or DoD is found.
A9	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A9	PARTIAL	AGENTS.md:644-658 10 adapted + :660-665 2 corollaries; 3 absent (close-pump, scope-splitting, bench-path)	no	full read + recount run now	adopt 12 verbatim or record delta	1 edit	1 edit	reward hacking	adopt	See G18 falsification.
A10	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A10	PARTIAL	dispatch shape conventional; 1/107 beads carries acceptance_criteria (jev-gate-error-decorrelation-ltk:41); no lint	no	beads grep count run now	acceptance-line lint	1 lint	1 lint	untestable beads	adopt	Require three-line acceptance on new beads: one refused or lint is control.
A11	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A11	HAVE	foundation/kit/packet.md:83-87 admissible + non-proof list	no	section read	already landed	0	0	proof disputes	refuse	Not refused; taxonomy declared.
A12	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A12	PARTIAL	no per-artifact deletion lines repo-wide (adjacent only: RULE 1 never-delete, 95-ratchet retirement rule)	no	multi-file grep zero hits run now	per-artifact deletion pass	1 pass	1 pass	process accretion	adopt	See G21 falsification.
A13	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A13	HAVE	foundation/kit/packet.md:110-116 solo attestation with reviewer/draft/changes/risk	no	attestation read	already landed	0	0	unreviewed plans	refuse	Not refused; attestation recorded with residual risk named.
A14	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md A14	HAVE	foundation/kit/packet.md:92-96 RED/proof/secret blocks, waiver fields, non-waivable clauses	no	section read	already landed	0	0	pressured releases	refuse	Not refused; gate defined before pressure.
B1	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B1	HAVE	.beads/issues.jsonl 107 rows (70/18/14/5); br ready 4; single tracker	yes	census + ready run now	already landed	0	0	parallel prose trackers	refuse	Not refused; single tracker.
B2	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B2	PARTIAL	spot reasons cite evidence (jev-mine-skillranker-91m, jev-m7r); 11/70 short; 1/107 carries acceptance_criteria	yes	spot read + full census run now	close-evidence lint (reason >=20 chars + token)	1 lint	1 lint	thin closes	adopt	Enforce reason length: 14 short rows refuse or lint is control.
B3	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B3	PARTIAL	newest receipt keys schema/started_at/model/fixture/config/items/metrics; commit/host/worker grep zero hits	no	key list + provenance grep run now	see G8	schema change	schema change	unbound receipts	adopt	See G8 falsification.
B4	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B4	HAVE	NEGATIVE_EVIDENCE.md retry predicates on falsified rows	yes	17 retry hits observed	already landed	0	0	relitigation	refuse	Not refused; predicates banked.
B5	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B5	PARTIAL	CORRECTED: pre-commit live at absolute core.hooksPath githooks/pre-commit: lane 1 staged-deletion :30-36 + lane 2 autofix --check :38-68, zero claim-canary; fired exit 0 (2 runs)	no	hook fired + file read end to end	add claim-discipline lane + canary fixture	1 lane + 1 fixture	1 lane + 1 fixture	silent evidence failure	adopt	See G6 falsification.
B6	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B6	HAVE	checker sees enforce=yes; official-sdk enforced; selftest exit 0 (3 runs)	yes	selftest re-runs exit 0	already landed	0	0	drifting claims	refuse	Not refused; enforced.
B7	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B7	PARTIAL	20 gate-touching commits in log (35629b2, 8d99b9d, a53190f, cef0e02...); per-change two-direction evidence unassessed	no	git log --oneline -20 run now	two-direction evidence on next gate change	convention	convention	unweakened gates	adopt	Next gate change ships both directions or rule is prose.
B8	/tmp/jev-intake/franken-zip/starter-kit/CHECKLIST.md B8	PARTIAL	17-kit-demotion.sh executes slice (selftest exit 0, 2 runs); scheduled cadence unproven	yes	selftest re-runs exit 0	scheduled demotion pass	1 cadence	1 cadence	unrun demotion	adopt	Run scheduled pass: demotions recorded or cadence is prose.
