id	title	closed_at	close_reason_len	close_reason	names_command(y/n)	names_commit(sha or -)	commit_resolves(git cat-file -e: y/n)	names_path(path or -)	path_exists(y/n)	class(OK|REPAIRABLE|NO-EVIDENCE)	repair_evidence(the commit/receipt you found elsewhere, e.g. by `git log --all --grep=<id>` or a receipt naming the id)
jev-compact-hook-hbs	Omp hook-surface recon plus thin compaction adapter	2026-09-17T23:49:15.932736Z	290	Adapter path: compaction/src/omp-hook.ts + 12 canned-asker tests (17/17 suite, tsc clean) + receipt compaction/runs/hook-recon-20260917.md (verbatim session_before_compact quotes, L0 claim) + gate 40 extended with passthrough RED arm (gate + both selftests green). Commits be199ce, 00b81ff.	y	20260917	n	compaction/src/omp-hook.ts	y	OK	-
jev-cp2	jev-jhi uncovered: route scripts/measure-framing-flip.mjs + foundation/run_calib	2026-09-22T02:09:17.857077Z	402	VERDICT already-satisfied (verified, not built): scripts/measure-framing-flip.mjs routes via askJevBundle (committed 56cc485, zero fetch/http matches); foundation/run_calibration.py routes via vendored typesafe_sdk TypeSafeClient with hard exit when unimportable (committed 81a1daa, zero urllib/API_U	y	56cc485	y	scripts/measure-framing-flip.mjs	y	OK	-
jev-cz0	Label real traffic for omp-jev-commit, review, rerank	2026-09-20T03:58:08.603637Z	4	done	n	-	n	-	n	REPAIRABLE	0d36407;work/jev-beads-eval/cases.v1.jsonl;docs/demos/upstream-repro/jev-task-tests-beads-20260920.md;docs/demos/dispatch/pane3-commit-judge-live.md
jev-d92	Sweep remaining clones for paired scorer outputs	2026-09-19T03:54:22.273593Z	217	docs/demos/phi-clone-sweep-20260919.md [oracle]: full table, 22/22 searched, no second pair exists in committed form. Feeding phi needs keyed runs, absent themsquared, or live calls. Zero live calls, clones untouched.	n	20260919	n	docs/demos/phi-clone-sweep-20260919.md	y	OK	-
jev-ddq	jev-sr-dogfood: rotate all sr surfaces, trackable pass/fail ledger	2026-09-20T19:11:41.122335Z	112	docs/demos/upstream-repro/skillranker-dogfood-20260920.md: 25 surfaces green, mac store functional, gaps tracked	n	20260920	n	docs/demos/upstream-repro/skillranker-dogfood-20260920.md	y	OK	-
jev-demo-loop-a1q.1	Lane gap: am mail leg of the REPLY-VIA contract is dead — 6 units delivered, inb	2026-09-18T15:43:33.991913Z	176	docs/demos/duel-2/runs/mail-leg-ruling-20260918T154229Z.json fe045cd: both acceptance items met (denominator quoted, loopback control passed); ruled RETIRE with retry condition	n	fe045cd	y	docs/demos/duel-2/runs/mail-leg-ruling-20260918T154229Z.json	y	OK	-
jev-demo-loop-a1q.2	Lane gap: 37 of 60 USAGE-MAP claims are UNVERIFIABLE — cited community repos are	2026-09-18T16:07:43.617845Z	139	516f8ab (vendor 19 + CHECK PASS) + effe777 (re-run 60/60 EXACT, stales fixed, owners mapped); all 5 acceptance items met, zero UNRESOLVABLE	n	516f8ab	y	-	n	OK	-
jev-demo-loop-a1q.3	A/B harness emits a one-word verdict over a nondeterministic arm — remove it or 	2026-09-18T15:58:27.545941Z	616	DONE commit=ff99df8 receipt=compaction/runs/ab-verdict-migration-20260918.json. run-ab.ts now records per-arm sampling summaries and emits no relative verdict at n=1; --verdict exits 2 with spread evidence unless both arms have >=10 zero-spread samples. Existing three receipts mark historical verdic	y	ff99df8	y	-	n	OK	-
jev-demo-loop-a1q.4.1	Route: three fleet-idle-monitor defects upstream to uds (owner found, but its cr	2026-09-18T01:39:47.572454Z	1222	DROPPED per Joshua's direct order 2026-09-18: 'uds is our system - avoid it - dont worry about uds'. RULE 0 overrides the routing plan. The three fleet-idle-monitor defects remain real and measured (user shell reported ACTIONABLE; cross-project bead recommendation; false-WORKING off spinner animatio	n	-	n	-	n	REPAIRABLE	c9ccd78;7ec741e
jev-demo-loop-a1q.5	demo-1 BLOCKER: three artifacts assert three different turn counts for one fixtu	2026-09-18T15:59:55.216664Z	534	DONE verified existing fix chain and stranger path. Clean documented fixture run returns denominator sessions=1, turns=6, classifiableTurns=6, skippedTurns=0, failures=0. npm test 21/21 PASS; npm run mutate baseline green and 7/7 mutations caught, byte-identical restore; install.sh prints exact copy	y	-	n	-	n	OK	-
jev-distinct-lineage-review-substrate-nl9	Distinct-lineage review of this session's hook + gate substrate	2026-09-18T15:48:43.565317Z	466	DONE receipt=docs/demos/duel-2/runs/review-distinct-lineage-substrate-20260918T154500Z.json commit=a6e7482 reviewer_lineage=openai-codex/gpt-5.6-luna author_lineage=Claude Opus. No false refusal found in lane 1, commit-msg, or GIT_INDEX_FILE causal witness. Adopted report-only autofix policy. Record	n	a6e7482	y	docs/demos/duel-2/runs/review-distinct-lineage-substrate-20260918T154500Z.json	y	OK	-
jev-eww	Multi-turn route labels beyond 10	2026-09-20T10:16:16.839863Z	4	done	n	-	n	-	n	REPAIRABLE	0d36407;docs/demos/upstream-repro/commit-learnings-20260919.md;docs/demos/dispatch/pane3-eww-route-labels.md;docs/demos/dispatch/pane3-vbh4-router.md
jev-fqo	L4 compaction: settle whether summary+firstKeptEntryId reaches it	2026-09-19T02:42:05.385599Z	214	docs/demos/omp-seam-fqo-20260919.md [test]: mechanism conceded (summary+boundary IS the channel), conclusion narrowed - REFUSE pruning-L4, DEFER boundary-L4 behind entry-linkage probe. R21 amended. Zero live calls.	n	20260919	n	docs/demos/omp-seam-fqo-20260919.md	y	OK	-
jev-fzw	Ground truth that survives real diffs (review behaviour question)	2026-09-20T07:44:31.430Z	1212	ACCEPTANCE MET. Computed labelling rule at work/omp-jev-review/behaviour-label.mjs with 6 tests (behaviour-label.test.mjs), committed with its TESTS.md entry. Rule: a change alters existing-caller behaviour iff it touches a file something else in the repo already references, or that the repo invokes	y	0befea4	y	work/omp-jev-review/behaviour-label.mjs	y	OK	-
jev-gou	Port remaining measure scripts to measure-kit	2026-09-20T10:07:28.145657Z	4	done	n	-	n	-	n	REPAIRABLE	7f03758;0d36407;docs/demos/upstream-repro/commit-learnings-20260919.md;docs/demos/upstream-repro/gou-ports-20260920.md;docs/demos/dispatch/pane3-eww-route-labels.md
jev-hh4	Unbiased n=300 doctrine ratio with CI plus implied pool; convert secrets-to-git 	2026-09-20T22:23:26.296876Z	230	VERDICT: unbiased n=300 (seed 20260920-unbiased-300) mechanizable-shape 9/300=3.00% CI [1.59%,5.60%] pool 529-1870; universal 3/300=1.00% CI [0.34%,2.90%] pool 114-967. Converted R-41 secrets-to-git: 2 hits 0 true, R61. SHIPPED 0.	n	20260920	n	-	n	REPAIRABLE	c692547;work/nev-routing/tool-select-labelled.jsonl
jev-hwa	Run typesafe-sdk-python: install + its own suite	2026-09-23T03:02:31.241302Z	248	receipt docs/demos/upstream-repro/sdk-python-20260919.md:9-15 (commit 2c59e18): uv sync rc=0; pytest 534 passed/50 skipped/0 errors; no green-while-throwing vs JS 189/189+8 rejections. Non-author re-run at pin 0ffd094: 671/52/0 (comment in 06907e8)	y	20260919	n	docs/demos/upstream-repro/sdk-python-20260919.md	y	OK	-;repair-bead:jev-6fo(closed)
jev-jhi	jev-sdk-cutover: route remaining hand-rolled/private Jev callers via work/jev-cl	2026-09-22T02:13:45.694388Z	286	Cutover complete on every acceptance leg (re-derived): fetch grep allowed+exempt only; bare imports anchored-refusal+frozen-data only; five files unified/refused-accepted; P4 rewires landed; cp2 closed; exemptions in notes. Tripwires stand (gate-44 flag migrates anchored-require pair).	n	-	n	-	n	REPAIRABLE	18b4d4f;fe0113f;470d19f
jev-k9z.6	two-bit admissibility before any new Jev seat	2026-09-21T19:34:52.759312Z	274	VERDICT shipped: work/two-bit/two-bit.mjs + candidates.json + test/two-bit.test.mjs, node --test 5/5 [test]. RED arms fire exit 2 (harm bit1=YES, keep bit2=YES), GREEN arm admits exit 0 (nevir both NO), unknown/unset refused exit 2. NO-CLAIM: admission is not certification.	y	-	n	work/two-bit/two-bit.mjs	y	OK	-
jev-kma	Scratch probe bead (delete): verify feed-idle-panes selects a pane	2026-09-19T03:56:09.387254Z	4	done	n	-	n	-	n	REPAIRABLE	docs/demos/upstream-repro/jev-task-tests-beads-20260920.md;work/jev-beads-eval/cases.v1.jsonl;work/toolcall-judge-v3/real-allowed.json
jev-kqf	Isolate the JS SDK's 8 unhandled rejections: test doubles or shipped code?	2026-09-19T02:44:30.001775Z	4	done	n	-	n	-	n	REPAIRABLE	849b296;docs/demos/upstream-repro/sdk-js-timeout-crash-20260919.md;work/p3-calibration/toolcall-corpus-frozen.jsonl
jev-m4r	Mine fh doctrine rows for TTSR rules (C71 search-the-crate, C60 empty-as-finding	2026-09-20T22:09:51.896899Z	349	VERDICT: REFUSED all three doctrine-mine candidates with measured evidence — R56 C71 workaround+upstream-vocab FP 0.95 (n=20, seed 20260920), R57 C60 bare empty-narration FP 1.00, R58 empty+timeout conjunction 27 hits below 50 floor FP 1.00. Corpora: bash N=78,242, text turns N=45,220/1,839 files. S	y	20260920	n	-	n	OK	-
jev-m7r	Harm-rule recall against real danger beyond n=2	2026-09-20T08:25:53.180464Z	1107	RULING delivered, which the bead names as a valid outcome. docs/demos/upstream-repro/m7r-harm-recall-ruling-20260920.md. Swept every dcg_block row across 1,292 session files: 1,338 blocked tool calls, 843 with command text, 75 in scope for our four classes under a deliberately generous filter. Ran t	n	20260920	n	-	n	REPAIRABLE	631e76c;4bf1067;0d36407;NEGATIVE_EVIDENCE.md;notes/deep/mechanism-transfer.tsv;docs/INTEGRATIONS.md
jev-mine-skillranker-91m	Mine skillranker for AGENTS.md lessons	2026-09-17T23:44:04.741113Z	99	Mined skillranker@3fe85c4 AGENTS.md; 4 rules in AGENTS.md (24b0b33), EVAL §7 entry; gates ALL GREEN	n	3fe85c4	n	-	n	REPAIRABLE	8dd24d2;notes/deep/mechanism-transfer.tsv;notes/rerank-unlabelled-pairs.jsonl;work/nev-routing/tool-select-labelled.jsonl
jev-osh	jev sr-withhold upstream filing tracking	2026-09-20T21:24:02.493396Z	48	duplicate of jev-jwr, created by retried command	n	-	n	-	n	REPAIRABLE	3f40c6f;EVAL.md;work/nev-routing/tool-select-labelled.jsonl
jev-publish-playground-hog.1	PUBLISH BLOCKER: tip scrubs cannot satisfy the acceptance while history is publi	2026-09-18T16:16:57.123942Z	111	7f5ca25: all 4 acceptance items met; export scanned PASS with tip==history by construction; push left to Joshua	n	7f5ca25	y	-	n	OK	-
jev-publish-readme-ho1	README + LICENSE for jev_playground	2026-09-19T04:20:43.242894Z	4	done	n	-	n	-	n	REPAIRABLE	98c64ae;notes/rerank-unlabelled-pairs.jsonl;work/toolcall-judge-v3/real-allowed.json;work/p3-calibration/toolcall-corpus-frozen.jsonl
jev-publish-redteam-7s0	Red-team jev_playground until clean	2026-09-18T16:23:24.966669Z	99	5d6a931: all findings ruled, delta re-sweep shows zero unruled findings; gate-40 fix verified green	n	5d6a931	y	-	n	OK	-
jev-pzt	jevcache: recall-based CI gate	2026-09-20T06:40:29.785358Z	592	MOOT. jevcache was removed and disqualified tonight (8fe44b2 removal, f717ba3 correction): binary deleted, both plaintext ledgers deleted, hub-supervised process stopped, and grep -rln jevcache over work/ .omp/ foundation/ finds nothing outside the evidence directory. A recall-based CI gate for a to	n	8fe44b2	y	-	n	OK	-
jev-vbh.1	Skill: executed-vs-data string distinguisher (R44 trigger)	2026-09-20T09:09:57.105299Z	4	done	n	-	n	-	n	REPAIRABLE	notes/rerank-unlabelled-pairs.jsonl;work/jev-beads-eval/cases.v1.jsonl;work/omp-harm-rule/harm-rule.ts
jev-vbh.2	Skill: question-writing (N=8-10 loop)	2026-09-20T05:17:56.703020Z	4	done	n	-	n	-	n	REPAIRABLE	notes/rerank-unlabelled-pairs.jsonl;work/nev-routing/tool-select-labelled.jsonl;work/jev-question-writing/trial-labels.test.mjs
jev-vbh.3	Skill: eval-honesty (N=8-10 loop)	2026-09-20T05:44:05.712671Z	4	done	n	-	n	-	n	REPAIRABLE	c824304;243c0e1;notes/rerank-unlabelled-pairs.jsonl;work/nev-routing/tool-select-labelled.jsonl;docs/demos/upstream-repro/commit-learnings-20260919.md
jev-vbh.4	Skill: usage-router-active (N=8-10 loop)	2026-09-20T10:25:23.044871Z	4	done	n	-	n	-	n	REPAIRABLE	notes/rerank-unlabelled-pairs.jsonl;docs/demos/upstream-repro/commit-learnings-20260919.md;work/toolcall-judge-v3/real-allowed.json
jev-vbh.7	Skill: silent-register (N=8-10 loop)	2026-09-20T04:43:53.320747Z	790	Retirement condition met and proven live. Register at work/jev-score-register/ (register.mjs, replay.mjs, live-record.mjs, prove-wired.mjs, 10 tests). omp-jev-commit wired through recording(); shipped handler driven against a real staged diff emitted commit_scored and persisted describes 0.9 / overs	y	-	n	work/jev-score-register	y	OK	-
jev-w6u	cass/frankensearch posting-validation doc_freq cap repro (P4 Phase 0.9)	2026-09-20T21:32:43.197841Z	393	WITHDRAW Phase 0.9: isolated cass 0.8.0 index --full of 4.2M unique messages sharing token zwpostingcap completed success=true rc=0 documents=4200000, no PostingLimitExceeded. Search total_matches=2 not the cap error. Reopen only if posting validation limit 4194304 exceeded by declared doc_freq (cod	y	4200000	n	-	n	OK	-
jev-wzu	Jev-compact skill + anywhere-installer	2026-09-19T02:09:02.063979Z	207	b4375e7 [test]: skill skill://jev-compact, installer compaction/install-jev-compact.sh proven on scratch targets, honest-yield correction (R21), 32/32 tests, gate40 PASS+selftest, ubs 0, foundation ALL GREEN	y	b4375e7	y	compaction/install-jev-compact.sh	y	OK	-
jev-xio	Completion debt: seat-screen L2/L3 chain has receipts but no EVAL.md ledger row	2026-09-22T02:00:07.081131Z	185	PASS: EVAL row appended naming 61f8fc0/65e34df, L2 listed-claim with noext negative, L3 D1 review + D2 flag, Boundary (sessions/driver/L4 calls not re-run). Committed. VERDICT recorded.	n	61f8fc0	y	-	n	OK	-
jev-zpn	Thread table keyed by file type (.rs first) with recurrence and citations	2026-09-20T22:46:20.947350Z	318	VERDICT: thread table landed at docs/essays/thread-table-by-filetype-20260920.md (.rs first: 5 threads + 6 builtins; json 2; md 2; sh 5; ts 0 new + 13 builtins; toml 1). Recurrence with denominators; starters verified except one-run-sh UNVERIFIED; doctrine-history filter verified. No rules drafted (	n	20260920	n	docs/essays/thread-table-by-filetype-20260920.md	y	OK	-
jev-g3i	L4 organic-precision doctrine decision	2026-09-22T02:33:39.874174Z	175	DECIDED conditional-go with source/sampling/approver/trigger recorded in comment; unblocker jev-v6j filed with WHAT/WHY/ACCEPTANCE. No live measurement started per unit scope.	n	-	n	-	n	REPAIRABLE	jev-v6j(closed, acceptance met: observer 4/4, live 3/3)
jev-umo	Harvest extraction retry for tool-select seat (k9z.3)	2026-09-22T02:35:25.510068Z	185	REFUSED-documented: B5 NO_SEAT stands on re-derived numbers (always-bash 0.297 kills); paired Jev arm unwarranted spend. Pairs file (137063 rows) persists for any future rule challenge.	y	-	n	-	n	OK	-
jev-xre	triage scripts: pin jev-latest→jev-1.13.0 and route run.mjs retry via SDK RetryP	2026-09-22T02:21:39.633211Z	298	VERDICT done: 3 pins to jev-1.13.0, hand-rolled retry deleted for SDK retry passthrough (default single-attempt), 19/19 tests incl. single-attempt proof, gate 44 green. Committed fd4f60c, pushed. Note: 2 historical run receipts retain jev-latest labels (immutable); acceptance grep holds on source.	n	fd4f60c	y	-	n	OK	-
jev-g8p	ttsr-assert-disabled GREEN arm red: absence-from-one-probe present in both scope	2026-09-22T02:29:54.776156Z	613	VERDICT already-satisfied (RULING 2026-09-22 pane 1): re-run matches under OMP_PROFILE=claude — disabledRules contains absence-from-one-probe, selftest 4 ok 0 failed (4/4 is the script's own count; bead-body 6/6 stale per ruling). Default-profile reads (disabledRules empty, 3ok/2fail) are the profil	n	-	n	-	n	REPAIRABLE	docs/demos/upstream-repro/absence-n77-verdict-20260920.md(numbers match verbatim n=77/FP21/Wilson0.381);scripts/selftest-ttsr-assert-disabled.sh(4-count verifiable)
jev-v6j	jev-screen logging observer: persist every screen verdict for organic-precision 	2026-09-22T02:42:05.092333Z	145	Observer built, tested 4/4, live-proven 3/3 with zero verdict changes, schema committed, privacy header present, EVAL row landed. Acceptance met.	n	-	n	-	n	REPAIRABLE	62b472e;d8e2845;74feaae;EVAL.md;work/omp-jev-screen-log/screen-log.mjs;work/omp-jev-screen-log/proof-session.mts
jev-bb5	RAG demo from the official passage cookbook	2026-09-22T03:18:34.081165Z	151	RAG demo built from the passage cookbook, fixture lane exits 0, README names the command in the same commit, keyless live says NOT_RUN. Acceptance met.	n	-	n	-	n	REPAIRABLE	f83903c;9a3a4cb
jev-kff	Citation demo from the official citation cookbook	2026-09-22T03:19:06.656955Z	108	DONE: demos/citation/demo.mjs exits 0 keyless (5 verdicts), README command named same commit. NO-CLAIM kept.	y	-	n	demos/citation/demo.mjs	y	OK	-
jev-dft	Skill-suggest demo from the official cookbook	2026-09-22T03:23:03.486172Z	215	VERDICT done: demos/skill-suggest/demo.mjs + suggest.mjs (two-stage suggest with gate, 2 hits + 1 abstention, exit 0 keyless, zero network) + README pointer (duplicate block consolidated). Committed 7a6fe42, pushed.	y	7a6fe42	y	demos/skill-suggest/demo.mjs	y	OK	-
jev-cx5	README lists only demos that exit 0	2026-09-22T03:21:15.117397Z	247	PASS: all 4 demos/*/demo.mjs exit 0 keyless from root (guard, rag, citation re-run; skill-suggest found unlisted-exiting-0, added to README at 1298931). No dead commands. Claimed via auto-feed though assigned pane3; change is additive README-only.	y	1298931	y	-	n	OK	-
jev-v8-kit-drive-m0e.1	v8 checker challenge	2026-09-23T01:48:03.424183Z	153	notes/v8-checker-challenge.md at 42b3b52. RULEBOOK 034b8c23 both zips. Port selftests exit 0. Zip claim checker blind; zip readiness accepts design-only.	n	42b3b52	y	notes/v8-checker-challenge.md	y	OK	-
jev-v8-kit-drive-m0e.2	v8 demotion teeth	2026-09-23T01:36:03.025085Z	237	VERDICT: DONE. 3 paths landed in commit 8d99b9d. Stage 17 --selftest exits 0 with RED naming the plant file; checker --selftest exits 0; real enforce=yes row official-sdk HELD exit 0. notes/v8-checker-challenge.md absent, no re-run owed.	n	8d99b9d	y	notes/v8-checker-challenge.md	y	OK	-
jev-qex	Repair thin close on jev-0bp	2026-09-23T03:03:41.963601Z	157	br show jev-0bp: close_reason now names the BLOCKED receipt (dc2016c) and the superseding jev-ddq receipt (1c67b11); 4ed4c9b src/lib.rs:25-26 re-read keyless	y	dc2016c	y	-	n	OK	-
jev-6fo	Repair thin close on jev-hwa	2026-09-23T03:03:42.081232Z	117	br show jev-hwa: close_reason cites sdk-python-20260919.md:9-15, commit 2c59e18, non-author re-run 671/52/0 (06907e8)	y	20260919	n	-	n	OK	-
jev-lqz	Repair thin close on jev-vbh.6	2026-09-23T03:03:42.209941Z	179	jev-vbh.6 reopened with comment: met (3/3 test, constant-before-verdict, df05971) and unmet (no N=8-10 loop, live harvest never run, no SKILL.md), per subagent VerifyVbh6T re-runs	n	df05971	y	-	n	OK	-
