label	readme_pattern	capability_key	expected_substr	proof_path	enforce	notes
real-corpus-bar	always answering `BAD` is right 78.8% of the time	prevalence-first	6,181 (78.8%)	work/jev-prevalence-first/SPEC.md	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
tool-routing-refused	192 of 400 right against 252 for always `bash`	nev-routing	"correct":252	work/nev-routing/TOOLSELECT-RECEIPT.json	yes	README claim tied to its receipt; registered 2026-09-23 (W2.3). Proof holds the number, not a re-run.
claim-check-cuts	supported at 0.8 or above, unsupported at 0.2 or below	jev-claim-check	export const SUPPORTED_AT = 0.8;	.omp/tools/jev-claim-check.ts	yes	README claim tied to the shipped constant; registered 2026-09-24 (jev-sp5).
inj-grok-558	and grok-4 on 558	nev-differential	"correct": 558,	work/nev-differential/DIFF-RECEIPT.json	yes	README claim split from a jev_claim_check dogfood finding (jev-sp5): the row it shares a sentence with points at a file that lacks this number; registered 2026-09-24. Proof holds the number, not a re-run.
inj-haiku-discordants-65	Jev right and Haiku wrong on 65	nev-differential	"jev_only": 65	work/nev-differential/DIFF-RECEIPT.json	yes	README claim split from a jev_claim_check dogfood finding (jev-sp5): the row it shares a sentence with points at a file that lacks this number; registered 2026-09-24. Proof holds the number, not a re-run.
inj-haiku-discordants-5	the reverse on 5, and 61	nev-differential	"arm_only": 5,	work/nev-differential/DIFF-RECEIPT.json	yes	README claim split from a jev_claim_check dogfood finding (jev-sp5): the row it shares a sentence with points at a file that lacks this number; registered 2026-09-24. Proof holds the number, not a re-run.
routing-exit-3	exits 3 when a question does not beat its constant	prevalence-first	WEAK: 3, DEGENERATE: 3	work/jev-prevalence-first/prevalence-check.mjs	yes	README claim split from a jev_claim_check dogfood finding (jev-sp5): the row it shares a sentence with points at a file that lacks this number; registered 2026-09-24. Proof holds the number, not a re-run.
sst5-mae	MAE 0.488 vs 0.556 (sign test p = 0.015)	score-sst5	**0.488**	docs/demos/upstream-repro/score-sst5-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
sst5-accuracy-tie	273 vs 251 of 500, was not significant	score-sst5	**273/500**	docs/demos/upstream-repro/score-sst5-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
sst5-narrow-3runs	sign p 0.015, 0.040 and 0.019	jev-variance	sign p 0.0148 / 0.0403 / 0.0190	docs/demos/upstream-repro/jev-variance-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
b77-headline	routed 384/400 against Claude Haiku 4.5's 362/400	choice-banking77	**384/400**	docs/demos/upstream-repro/choice-banking77-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
b77-zero-mass-dropped	374 vs 362 of 386, p = 0.0075	choice-banking77	374/386 | 362/386	docs/demos/upstream-repro/choice-banking77-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
b77-14-zero-mass	the 14 rows the adapter had turned from all-zero answers into picks	adapter-uniform	14 of 400	docs/demos/upstream-repro/adapter-uniform-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
gate-criteria-catch	raised Jev's catch from 41–46/100 to 77–79/100 at 1/300 false alarms	bicameral-gate	| criteria 3 | 79 | 1 | 79 | 1 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-criteria-haiku	caught 84/100 at 20/300	bicameral-gate	| Haiku criteria | 84/100 | 20/300 |	docs/demos/upstream-repro/bicameral-gate-criteria-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n) from a closed, non-author-verified bead. Proof holds the number, not a re-run.
gate-criteria-corrected	3-label correction gives 77–79/97	bicameral-gate	| criteria 2 | 77 | 1 | 77 | 1 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
b77-haiku-credited-bound	384 vs 376, p = 0.13, which is not significant	choice-banking77	| 384/400 | 376/400 | 15 / 7 | 0.13 |	docs/demos/upstream-repro/choice-banking77-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n amendment, jev-dsu closed) from a non-author-verified receipt. Proof holds the number, not a re-run.
b77-grok-tie	368 vs 365, in 8 of 9 run pairings	second-incumbent	| 378 | 368 | 365 | 8 | 5 | 0.58 |	docs/demos/upstream-repro/second-incumbent-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-w3n amendment, jev-dsu closed) from a non-author-verified receipt. Proof holds the number, not a re-run.
scifact-haiku-acc	got 361/400 right against Claude Haiku 4.5's 351/400	noul-scifact	McNemar 19 vs 9, p = 0.087	docs/demos/upstream-repro/noul-scifact-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-9er/jev-dsu, README share part 2). Proof holds the number, not a re-run.
scifact-jev-probs	its Brier score was significantly better, 0.0709 vs 0.1002	noul-scifact	**0.0709**	docs/demos/upstream-repro/noul-scifact-20260924.md	yes	README claim re-registered 2026-09-24 (README part 4): SciFact AUC/ECE wins retracted by R89 (jev-x5k), FEVER calibration marked single-run. Proof holds the number, not a re-run.
scifact-haiku-probs	its Brier score was significantly better, 0.0709 vs 0.1002	noul-scifact	**0.1002**	docs/demos/upstream-repro/noul-scifact-20260924.md	yes	README claim re-registered 2026-09-24 (README part 4): SciFact AUC/ECE wins retracted by R89 (jev-x5k), FEVER calibration marked single-run. Proof holds the number, not a re-run.
scifact-grok	361 vs 330 right, 46 vs 15 discordant, p = 8.8e-5	second-incumbent	46 | 15 | 8.8e-5	docs/demos/upstream-repro/second-incumbent-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-9er/jev-dsu, README share part 2). Proof holds the number, not a re-run.
fever-haiku-acc	got 379/400 right against Claude Haiku 4.5's 376/400	noul-fever	| 6 | 3 | 0.51 | **TIE**	docs/demos/upstream-repro/noul-fever-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-wx5, README share part 2). Proof holds the number, not a re-run.
fever-jev-probs	its ECE was lower, 0.0376 vs 0.0664	noul-fever	**0.973** | **0.0463** | **0.0376**	docs/demos/upstream-repro/noul-fever-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-wx5, README share part 2). Proof holds the number, not a re-run. Re-pointed 2026-09-25 when README.md was trimmed under readme-gate's size budget.
banking77-full-jev	routed 2,467/3,080 right against 2,267/3,080	choice-banking77	**2,467/3,080**	docs/demos/upstream-repro/choice-banking77-full-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-4jf, README share part 2). Proof holds the number, not a re-run.
banking77-full-haiku	routed 2,467/3,080 right against 2,267/3,080	choice-banking77	| Haiku 4.5, adapter, prompted JSON | 2,267/3,080 |	docs/demos/upstream-repro/choice-banking77-full-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-4jf, README share part 2). Proof holds the number, not a re-run.
banking77-full-mcnemar	McNemar 326 vs 126, p = 1.7e-21	choice-banking77	Jev-only 326, Haiku-only 126	docs/demos/upstream-repro/choice-banking77-full-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-4jf, README share part 2). Proof holds the number, not a re-run.
banking77-full-structured	grammar limit on 993 of 993 attempts	choice-banking77	993/993 rejected	docs/demos/upstream-repro/choice-banking77-full-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-4jf, README share part 2). Proof holds the number, not a re-run.
cost-score	1,000 Jev answers cost $0.0158, $0.0162 and $0.0287	jev-billing-units	| $0.0158 | $0.9484 |	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-bmn, README share part 2). Proof holds the number, not a re-run.
cost-choice	1,000 Jev answers cost $0.0158, $0.0162 and $0.0287	jev-billing-units	| $0.0162 | $1.4287 |	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-bmn, README share part 2). Proof holds the number, not a re-run.
cost-noul	1,000 Jev answers cost $0.0158, $0.0162 and $0.0287	jev-billing-units	| $0.0287 | $0.9475 |	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-bmn, README share part 2). Proof holds the number, not a re-run.
cost-no-billing-units	On 150 live calls, 50 each	jev-billing-units	0 of 150 answered calls had one	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (jev-bmn, README share part 2). Proof holds the number, not a re-run.
tldr-banking77-full	wins intent routing across all 77 Banking77 intents (2,467 vs 2,267 of 3,080)	choice-banking77	**2,467/3,080**	docs/demos/upstream-repro/choice-banking77-full-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-scifact	(SciFact 361 vs 351, FEVER 379 vs 376 of 400)	noul-scifact	**361/400**	docs/demos/upstream-repro/noul-scifact-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-fever	(SciFact 361 vs 351, FEVER 379 vs 376 of 400)	noul-fever	**379/400**	docs/demos/upstream-repro/noul-fever-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-clinc-overall	ties on out-of-scope routing (688 vs 681 of 750)	choice-clinc150	| 688 (91.7%) | 681 (90.8%) |	docs/demos/upstream-repro/choice-clinc150-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-clinc-handled	wins once both abstain below 0.60 confidence (685 vs 650)	choice-clinc150	| 685 (91.3%) | 650 (86.7%) |	docs/demos/upstream-repro/choice-clinc150-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-scifact-grok	it wins SciFact outright (361 vs 330 on the first run, and in all 12 run pairings)	second-incumbent	| SciFact | accuracy | WIN | 12/12 |	docs/demos/upstream-repro/grok-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-jzzs 0aaaf5b, jev-n4j 4c9fd1d, jev-wu6v d4ffe69; each verified by a non-author). Proof holds the number, not a re-run.
tldr-cost-low	1,000 Jev answers cost $0.0158 to $0.0287, and Haiku 33 to 88 times as much	jev-billing-units	Jev 33× cheaper	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-cost-high	1,000 Jev answers cost $0.0158 to $0.0287, and Haiku 33 to 88 times as much	jev-billing-units	Jev 88× cheaper	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-gate-inplace	the command gate caught 11 of 23 risky file edits where Haiku caught 23	bicameral-gate	catch 11/23=0.478	docs/demos/upstream-repro/bicameral-gate-hard-cases-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
tldr-claim-check	the claim checker caught 0 of 31 changed numbers	jev-claim-check	| (b) catch-rate | **0/31**	docs/demos/upstream-repro/close-reason-check-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
clinc-overall	got 688/750 right against Claude Haiku 4.5's 681/750	choice-clinc150	| 688 (91.7%) | 681 (90.8%) | 21 / 14 | 0.311 | **NON-INFERIOR** |	docs/demos/upstream-repro/choice-clinc150-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
clinc-handled	Jev handled 685 vs 650 (47 vs 12, p = 5.1e-6)	choice-clinc150	| 685 (91.3%) | 650 (86.7%) | 47 / 12 | 5.1e-6 | **WIN** |	docs/demos/upstream-repro/choice-clinc150-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
scifact-criteria-acc	left accuracy tied at 361 vs 362	noul-scifact-criteria	| **no criteria (ablation)** | 362/400 | 90.5% | 0.958 | 0.0774	docs/demos/upstream-repro/noul-scifact-criteria-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
scifact-criteria-probs	significantly improved AUC 0.962 vs 0.958 and Brier 0.0709 vs 0.0774	noul-scifact-criteria	**WIN** (+0.0007 to +0.0072) | **WIN** (−0.0107 to −0.0021)	docs/demos/upstream-repro/noul-scifact-criteria-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
cost-ratio-33	33 to 88 times as much: list prices	jev-billing-units	Jev 33× cheaper	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
cost-ratio-88	33 to 88 times as much: list prices	jev-billing-units	Jev 88× cheaper	docs/demos/upstream-repro/jev-billing-units-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-gate-jev	the command gate caught 11/23 where Claude Haiku 4.5 with the same questions caught 23/23	bicameral-gate	catch 11/23=0.478	docs/demos/upstream-repro/bicameral-gate-hard-cases-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-gate-haiku	the command gate caught 11/23 where Claude Haiku 4.5 with the same questions caught 23/23	bicameral-gate	catch 23/23=1.000	docs/demos/upstream-repro/bicameral-gate-hard-cases-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-gate-p	(McNemar p = 0.00049)	bicameral-gate	0.0004883	docs/demos/upstream-repro/bicameral-gate-hard-cases-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-injection-persona	flagged 175/300 clean tool results	jev-injection-flag	Jev full 175/300 flagged	docs/demos/upstream-repro/jev-k9z5-flag-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-injection-nopersona	caught 213/263 public attacks at 12/300 tool false flags, a Wilson lower bound of 0.758	jev-toolout-flag	Jev plain 213/263 (Wilson lower 0.7581), 12/300	docs/demos/upstream-repro/jev-toolout-flag-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-claim-check-catch	caught 0/31 long reasons with one number changed	jev-claim-check	| (b) catch-rate | **0/31**	docs/demos/upstream-repro/close-reason-check-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-claim-check-supported	called 4/31 of them supported	jev-claim-check	| (a) planted called `supported` | 4/31	docs/demos/upstream-repro/close-reason-check-20260924.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
loss-claim-check-short	on short README sentences it caught 7/9	jev-claim-check	plants were caught 7/9	NEGATIVE_EVIDENCE.md	yes	README claim tied to its receipt; registered 2026-09-24 (README share part 3). Proof holds the number, not a re-run.
scifact-brier-held-3	a win that held on all three Haiku runs (Haiku 0.0932 to 0.1002)	haiku-variance	Brier 0.0932-0.1002	docs/demos/upstream-repro/haiku-variance-20260924.md	yes	README claim re-registered 2026-09-24 (README part 4): SciFact AUC/ECE wins retracted by R89 (jev-x5k), FEVER calibration marked single-run. Proof holds the number, not a re-run.
fever-single-run	in all 12 pairings of four Jev runs with three Haiku runs	noul-fever	| FEVER | ECE | WIN | **12/12** | 0 | **HOLDS** |	docs/demos/upstream-repro/noul-variance-20260924.md	yes	README claim registered 2026-09-24 (README part 5): jev-hg8 variance, 12 Jev x Haiku pairings per set; FEVER AUC/Brier retracted by R90. Proof holds the number, not a re-run. Re-pointed 2026-09-25 when README.md was trimmed under readme-gate's size budget.
sst5-haiku-runs	on three Haiku runs at sign p 0.015, 0.0010 and 0.0039	haiku-variance	118 / 72, p = 0.0010 WIN | 112 / 72, p = 0.0039 WIN | **HOLDS**	docs/demos/upstream-repro/haiku-variance-20260924.md	yes	README claim re-registered 2026-09-24 (README part 4): SciFact AUC/ECE wins retracted by R89 (jev-x5k), FEVER calibration marked single-run. Proof holds the number, not a re-run.
banking77-haiku-runs	a win that held on three Haiku runs	haiku-variance	| Banking77 McNemar | 25 / 3, p = 2.7e-5 WIN | 23 / 4, p = 3.1e-4 WIN	docs/demos/upstream-repro/haiku-variance-20260924.md	yes	README claim corrected 2026-09-24: Haiku run 3 p is 704/2^26 = 1.049e-5, 1.0e-5 at two figures (MaintFixes; haiku-variance rounding note). Proof holds the number, not a re-run.
tldr-scifact-brier-held	with a lower Brier score on SciFact and a lower ECE on FEVER that held across 12 run pairings each	noul-variance	| SciFact | Brier | WIN | **12/12** | 0 | **HOLDS** |	docs/demos/upstream-repro/noul-variance-20260924.md	yes	README claim registered 2026-09-24 (README part 5): jev-hg8 variance, 12 Jev x Haiku pairings per set; FEVER AUC/Brier retracted by R90. Proof holds the number, not a re-run.
tldr-fever-ece-held	with a lower Brier score on SciFact and a lower ECE on FEVER that held across 12 run pairings each	noul-variance	| FEVER | ECE | WIN | **12/12** | 0 | **HOLDS** |	docs/demos/upstream-repro/noul-variance-20260924.md	yes	README claim registered 2026-09-24 (README part 5): jev-hg8 variance, 12 Jev x Haiku pairings per set; FEVER AUC/Brier retracted by R90. Proof holds the number, not a re-run.
scifact-brier-12	and in all 12 pairings of four Jev runs with three Haiku runs	noul-variance	| SciFact | Brier | WIN | **12/12** | 0 | **HOLDS** |	docs/demos/upstream-repro/noul-variance-20260924.md	yes	README claim registered 2026-09-24 (README part 5): jev-hg8 variance, 12 Jev x Haiku pairings per set; FEVER AUC/Brier retracted by R90. Proof holds the number, not a re-run.
gate-original-range	raised Jev's catch from 41–46/100 to 77–79/100 at 1/300 false alarms	bicameral-gate	| original 2 | 46 | 2 | 46 | 2 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-criteria-min	raised Jev's catch from 41–46/100 to 77–79/100 at 1/300 false alarms	bicameral-gate	| criteria 2 | 77 | 1 | 77 | 1 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-pairings-p	significant in all 9 run pairings (McNemar p ≤ 3.7e-08	bicameral-gate	every p between 1.6e-09 and 3.7e-08	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-first-run	41 to 78, p = 3.0e-09, on the first run	bicameral-gate	Jev criteria | 78/100 | 1/300 |	docs/demos/upstream-repro/bicameral-gate-criteria-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-corrected-max	3-label correction gives 77–79/97	bicameral-gate	| criteria 3 | 79 | 1 | 79 | 1 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-real-fp-max	false-alarmed on 6–8/300 routine real commands	bicameral-gate	| Jev 2 | 14 | 8 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
gate-real-fp-min	false-alarmed on 6–8/300 routine real commands	bicameral-gate	| Jev 3 | 12 | 6 |	docs/demos/upstream-repro/gate-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-24e gate variance, three Jev runs each, verified by pane 1): magnitudes as ranges. Proof holds the number, not a re-run.
banking77-haiku-run3	a win that held on three Haiku runs	haiku-variance	| 24 / 2 | 1.0e-05 | WIN |	docs/demos/upstream-repro/haiku-variance-20260924.md	yes	README claim corrected 2026-09-24: Haiku run 3 p is 704/2^26 = 1.049e-5, 1.0e-5 at two figures (MaintFixes; haiku-variance rounding note). Proof holds the number, not a re-run.
claim-check-refuses-numeric	It refuses any claim containing a number before calling the model	jev-claim-check	A claim containing any number is refused before	docs/demos/upstream-repro/jev-claim-check-20260924.md	yes	README claim registered 2026-09-24 (jev-5cz closed, non-author VerifySST5): jev_claim_check refuses numeric claims before any model call (R83). Proof holds the text, not a re-run.
claim-check-three-designs	three designs for checking a number against its evidence failed their bars (R83)	jev-claim-check	Three designs for checking a number against its evidence failed their preregistered bars.	docs/demos/upstream-repro/jev-claim-check-20260924.md	yes	README claim registered 2026-09-24 (jev-5cz closed, non-author VerifySST5): jev_claim_check refuses numeric claims before any model call (R83). Proof holds the text, not a re-run.
claim-check-qualitative	a qualitative claim still gets a verdict	jev-claim-check	Qualitative claims behave exactly as before.	docs/demos/upstream-repro/jev-claim-check-20260924.md	yes	README claim registered 2026-09-24 (jev-5cz closed, non-author VerifySST5): jev_claim_check refuses numeric claims before any model call (R83). Proof holds the text, not a re-run.
claim-check-refuse-code	It refuses any claim containing a number before calling the model	jev-claim-check	numeric-out-of-scope	.omp/tools/jev-claim-check.ts	yes	README claim registered 2026-09-24 (jev-5cz closed, non-author VerifySST5): jev_claim_check refuses numeric claims before any model call (R83). Proof holds the text, not a re-run.
inj-var-grok-runs	three grok-4 runs (558, 554, 555)	nev-differential	| **G2 (new)** | 554 |	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-grok-run3	three grok-4 runs (558, 554, 555)	nev-differential	| **G3 (new)** | 555 |	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-jev-run3	three Jev runs (639, 640, 639)	nev-differential	| **J3 (new, Python SDK)** | 639 |	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-grok-9	Jev wins all 9 pairings, the weakest at p = 2.0e-18	nev-differential	Jev vs grok-4 WIN: **STANDS** (9/9)	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-grok-p	Jev wins all 9 pairings, the weakest at p = 2.0e-18	nev-differential	the largest p is 2.0e-18	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-verified	verified by a non-author	nev-differential	**Verdict: CONFIRMED**	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-haiku-6	it held in all 6 pairings that exist (weakest p = 4.9e-13)	nev-differential	Jev vs Haiku WIN: **PROVISIONAL** (6/6 present	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-haiku-p	it held in all 6 pairings that exist (weakest p = 4.9e-13)	nev-differential	the largest p is 4.9e-13	docs/demos/upstream-repro/injection-variance-20260924.md	yes	README claim registered 2026-09-24 (jev-rf57, non-author Verifier3 1969dd4; Haiku half PROVISIONAL until jev-1y19). Proof holds the number, not a re-run.
inj-var-haiku-blocked	the third Haiku run was not run (paid comparisons stopped 2026-09-24)	nev-differential	*not run (paid comparisons stopped 2026-09-24)*	AGENTS.md	yes	README claim re-worded 2026-09-24 after Joshua's second directive (AGENTS.md 1cc7876, 'No paid comparisons'). Proof holds the text, not a re-run.
tldr-scifact-grok-first	it wins SciFact outright (361 vs 330 on the first run, and in all 12 run pairings)	second-incumbent	46 | 15 | 8.8e-5	docs/demos/upstream-repro/second-incumbent-20260924.md	yes	README claim registered 2026-09-24 (jev-jzzs 0aaaf5b, jev-n4j 4c9fd1d, jev-wu6v d4ffe69; each verified by a non-author). Proof holds the number, not a re-run.
sst5-grok	Jev's error was lower too (sign test 168 vs 101, p = 5.3e-5)	second-incumbent	| MAE (sign test on per-row error) | 168 / 101 | 5.3e-5 | **WIN** |	docs/demos/upstream-repro/grok-incumbent-sst5-clinc-20260924.md	yes	README claim registered 2026-09-24 (jev-jzzs 0aaaf5b, jev-n4j 4c9fd1d, jev-wu6v d4ffe69; each verified by a non-author). Proof holds the number, not a re-run.
