task	state_bytes	question_bytes	input_tokens	outcome
multi_apps/716a6079-22da-47f1-ba73-c9d58f986a38	11706	473	7190	answered
libreoffice_calc/347ef137-7eeb-4c80-a3bb-0951f26a8aff	30218	473	20048	answered
chrome/af630914-714e-4a24-a7bb-f9af687d3b91	7465	473	4369	answered
vs_code/982d12a5-beab-424f-8d38-d2a48429e511	13991	473	8847	answered
libreoffice_impress/c82632a4-56b6-4db4-9dd1-3820ee3388e4	13883	473	9196	answered
vs_code/5e2d93d8-8ad0-4435-b150-1692aacaa994	6663	473	4001	answered
chrome/e1e75309-3ddb-4d09-92ec-de869c928143	14927	473	9330	answered
libreoffice_calc/4188d3a4-077d-46b7-9c86-23e1a036f6c1	10501	473	6386	answered
libreoffice_calc/37608790-6147-45d0-9f20-1137bb35703d	17097	473	10808	answered
libreoffice_impress/05dd4c1d-c489-4c85-8389-a7836c4f0567	35580	473	23361	answered
libreoffice_calc/01b269ae-2111-4a07-81fd-3fcd711993b0	20629	473	13517	answered
gimp/554785e9-4523-4e7a-b8e1-8016f565f56a	11448	473	7144	answered
libreoffice_impress/e4ef0baf-4b52-4590-a47e-d4d464cca2d7	34436	473	22430	answered
thunderbird/7b1e1ff9-bb85-49be-b01d-d6424be18cd0	26415	473	16809	answered
gimp/a746add2-cab0-4740-ac36-c3769d9bfb46	9410	473	5693	answered
libreoffice_impress/70bca0cc-c117-427e-b0be-4df7299ebeb6	19984	473	12975	answered
multi_apps/36037439-2044-4b50-b9d1-875b5a332143	19761	473	12354	answered
multi_apps/02ce9a50-7af2-47ed-8596-af0c230501f8	21172	473	13334	answered
multi_apps/415ef462-bed3-493a-ac36-ca8c6d23bf1b	18461	473	11741	answered
gimp/06ca5602-62ca-47f6-ad4f-da151cde54cc	14213	473	9073	answered
multi_apps/bc2b57f3-686d-4ec9-87ce-edf850b7e442	27442	473	17965	answered
multi_apps/2c1ebcd7-9c6d-4c9a-afad-900e381ecd5e	68561	473		max_tokens_exceeded
os/13584542-872b-42d8-b299-866967b5c3ef	20222	473	12966	answered
libreoffice_calc/1954cced-e748-45c4-9c26-9855b97fbc5e	23816	473	15570	answered
multi_apps/a503b07f-9119-456b-b75d-f5146737d24f	14869	473	9500	answered
multi_apps/42d25c08-fb87-4927-8b65-93631280a26f	18208	473	10950	answered
vs_code/e2b5e914-ffe1-44d2-8e92-58f8c5d92bb2	13126	473	8014	answered
os/3ce045a0-877b-42aa-8d2c-b4a863336ab8	10174	473	6085	answered
thunderbird/5203d847-2572-4150-912a-03f062254390	17416	473	10850	answered
os/6f56bf42-85b8-4fbb-8e06-6c44960184ba	4782	473	2829	answered
libreoffice_calc/4e6fcf72-daf3-439f-a232-c434ce416af6	13080	473	8212	answered
libreoffice_writer/e246f6d8-78d7-44ac-b668-fcf47946cb50	19885	473	12580	answered
libreoffice_calc/3a7c8185-25c1-4941-bd7b-96e823c9f21f	24590	473	15905	answered
os/4127319a-8b79-4410-b58a-7a151e15f3d7	7776	473	4456	answered
multi_apps/67890eb6-6ce5-4c00-9e3d-fb4972699b06	24103	473	14929	answered
multi_apps/8df7e444-8e06-4f93-8a1a-c5c974269d82	19119	473	12130	answered
multi_apps/dd60633f-2c72-42ba-8547-6f2c8cb0fdb0	17929	473	10758	answered
chrome/3299584d-8f11-4457-bf4c-ce98f7600250	15441	473	9457	answered
libreoffice_calc/abed40dc-063f-4598-8ba5-9fe749c0615d	14735	473	9085	answered
libreoffice_impress/08aced46-45a2-48d7-993b-ed3fb5b32302	11549	473	7231	answered
chrome/7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3	18492	473	11485	answered
libreoffice_writer/6a33f9b9-0a56-4844-9c3f-96ec3ffb3ba2	16945	473	10528	answered
thunderbird/08c73485-7c6d-4681-999d-919f5c32dcfa	20267	473	12572	answered
chrome/6766f2b8-8a72-417f-a9e5-56fcaa735837	11964	473	7348	answered
multi_apps/26660ad1-6ebb-4f59-8cba-a8432dfe8d38	29044	473	18928	answered
multi_apps/00fa164e-2612-4439-992e-157d019a8436	23444	473	14880	answered
multi_apps/98e8e339-5f91-4ed2-b2b2-12647cb134f4	29280	473	19092	answered
libreoffice_impress/edb61b14-a854-4bf5-a075-c8075c11293a	26932	473	17243	answered
libreoffice_calc/a9f325aa-8c05-4e4f-8341-9e4358565f4f	13768	473	8270	answered
multi_apps/e2392362-125e-4f76-a2ee-524b183a3412	24645	473	15790	answered
multi_apps/227d2f97-562b-4ccb-ae47-a5ec9e142fbb	15683	473	9974	answered
chrome/da46d875-6b82-4681-9284-653b0c7ae241	42490	473	27431	answered
libreoffice_calc/30e3e107-1cfb-46ee-a755-2cd080d7ba6a	57627	473		max_tokens_exceeded
libreoffice_impress/2b94c692-6abb-48ae-ab0b-b3e8a19cb340	10643	473	6754	answered
multi_apps/48d05431-6cd5-4e76-82eb-12b60d823f7d	13623	473	8297	answered
libreoffice_calc/3aaa4e37-dc91-482e-99af-132a612d40f3	14121	473	8826	answered
os/bedcedc4-4d72-425e-ad62-21960b11fe0d	10825	473	6561	answered
multi_apps/42f4d1c7-4521-4161-b646-0a8934e36081	22872	473	14273	answered
chrome/f79439ad-3ee8-4f99-a518-0eb60e5652b0	17832	473	11279	answered
libreoffice_writer/6ada715d-3aae-4a32-a6a7-429b2e43fb93	11252	473	6765	answered
chrome/44ee5668-ecd5-4366-a6ce-c1c9b8d4e938	19517	473	12570	answered
libreoffice_calc/535364ea-05bd-46ea-9937-9f55c68507e8	37908	473	25164	answered
libreoffice_calc/7efeb4b1-3d19-4762-b163-63328d66303b	9173	473	5632	answered
os/5ced85fc-fa1a-4217-95fd-0fb530545ce2	6576	473	3950	answered
multi_apps/3a93cae4-ad3e-403e-8c12-65303b271818	16478	473	10126	answered
os/e0df059f-28a6-4169-924f-b9623e7184cc	6952	473	4288	answered
libreoffice_writer/66399b0d-8fda-4618-95c4-bfc6191617e9	13590	473	8269	answered
vlc/9195653c-f4aa-453d-aa95-787f6ccfaae9	31831	473	20722	answered
multi_apps/b337d106-053f-4d37-8da0-7f9c4043a66b	18795	473	11683	answered
libreoffice_impress/af2d657a-e6b3-4c6a-9f67-9e3ed015974c	13771	473	8610	answered
multi_apps/da922383-bfa4-4cd3-bbad-6bebab3d7742	17153	473	10908	answered
thunderbird/9b7bc335-06b5-4cd3-9119-1a649c478509	14222	473	8803	answered
libreoffice_calc/0cecd4f3-74de-457b-ba94-29ad6b5dafb6	18096	473	11597	answered
multi_apps/3680a5ee-6870-426a-a997-eba929a0d25c	20126	473	12679	answered
gimp/2a729ded-3296-423d-aec4-7dd55ed5fbb3	40140	473	26646	answered
chrome/f5d96daf-83a8-4c86-9686-bada31fc66ab	18774	473	12102	answered
multi_apps/f8369178-fafe-40c2-adc4-b9b08a125456	23385	473	14614	answered
libreoffice_impress/bf4e9888-f10f-47af-8dba-76413038b73c	39743	473	25835	answered
libreoffice_writer/6f81754e-285d-4ce0-b59e-af7edb02d108	16971	473	10908	answered
libreoffice_impress/986fc832-6af2-417c-8845-9272b3a1528b	25713	473	16603	answered
libreoffice_impress/0f84bef9-9790-432e-92b7-eece357603fb	14671	473	8893	answered
chrome/9f3f70fc-5afc-4958-a7b7-3bb4fcb01805	18171	473	11540	answered
multi_apps/68a25bd4-59c7-4f4d-975e-da0c8509c848	18316	473	11607	answered
multi_apps/eb303e01-261e-4972-8c07-c9b4e7a4922a	46297	473	30286	answered
vlc/fba2c100-79e8-42df-ae74-b592418d54f4	10772	473	6913	answered
os/94d95f96-9699-4208-98ba-3c3119edf9c2	16346	473	10369	answered
libreoffice_impress/5d901039-a89c-4bfb-967b-bf66f4df075e	25940	473	16724	answered
chrome/9f935cce-0a9f-435f-8007-817732bfc0a5	11298	473	6982	answered
thunderbird/dd84e895-72fd-4023-a336-97689ded257c	9731	473	6033	answered
multi_apps/2373b66a-092d-44cb-bfd7-82e86e7a3b4d	11085	473	6670	answered
libreoffice_writer/b21acd93-60fd-4127-8a43-2f5178f4a830	18323	473	11662	answered
multi_apps/7f35355e-02a6-45b5-b140-f0be698bcf85	20546	473	13102	answered
libreoffice_calc/1e8df695-bd1b-45b3-b557-e7d599cf7597	8537	473	5358	answered
gimp/f723c744-e62c-4ae6-98d1-750d3cd7d79d	13134	473	8093	answered
vs_code/930fdb3b-11a8-46fe-9bac-577332e2640e	14733	473	9022	answered
multi_apps/47f7c0ce-a5fb-4100-a5e6-65cd0e7429e5	15075	473	9543	answered
vs_code/ea98c5d7-3cf9-4f9b-8ad3-366b58e0fcae	14364	473	8734	answered
multi_apps/2fe4b718-3bd7-46ec-bdce-b184f5653624	45367	473	30127	answered
libreoffice_calc/4de54231-e4b5-49e3-b2ba-61a0bec721c0	19728	473	12559	answered
libreoffice_impress/8979838c-54a5-4454-a2b8-3d135a1a5c8f	21861	473	14246	answered
multi_apps/5990457f-2adb-467b-a4af-5c857c92d762	40240	473	26715	answered
libreoffice_impress/5cfb9197-e72b-454b-900e-c06b0c802b40	19250	473	12901	answered
libreoffice_impress/b8adbc24-cef2-4b15-99d5-ecbe7ff445eb	28873	473	18917	answered
multi_apps/5df7b33a-9f77-4101-823e-02f863e1c1ae	10507	473	5798	answered
libreoffice_impress/2cd43775-7085-45d8-89fa-9e35c0a915cf	15502	473	9849	answered
vlc/5ac2891a-eacd-4954-b339-98abba077adb	19138	473	11816	answered
libreoffice_writer/d53ff5ee-3b1a-431e-b2be-30ed2673079b	9443	473	5681	answered
vlc/efcf0d81-0835-4880-b2fd-d866e8bc2294	23213	473	14927	answered
vs_code/ec71221e-ac43-46f9-89b8-ee7d80f7e1c5	8109	473	4710	answered
chrome/cabb3bae-cccb-41bd-9f5d-0f3a9fecd825	50545	473		max_tokens_exceeded
gimp/b148e375-fe0b-4bec-90e7-38632b0d73c2	7896	473	4886	answered
libreoffice_impress/f23acfd2-c485-4b7c-a1e7-d4303ddfe864	10931	473	6826	answered
libreoffice_impress/ac1b39ff-ee4d-4483-abce-c117e98942f0	17209	473	11109	answered
libreoffice_writer/936321ce-5236-426a-9a20-e0e3c5dc536f	16178	473	10190	answered
multi_apps/7ff48d5b-2df2-49da-b500-a5150ffc7f18	22726	473	14254	answered
multi_apps/da52d699-e8d2-4dc5-9191-a2199e0b6a9b	22939	473	14679	answered
thunderbird/f201fbc3-44e6-46fc-bcaa-432f9815454c	12161	473	7295	answered
libreoffice_impress/3b27600c-3668-4abd-8f84-7bcdebbccbdb	64744	473		max_tokens_exceeded
multi_apps/788b3701-3ec9-4b67-b679-418bfa726c22	12292	473	7389	answered
libreoffice_calc/d681960f-7bc3-4286-9913-a8812ba3261a	11247	473	6774	answered
gimp/d16c99dc-2a1e-46f2-b350-d97c86c85c15	14540	473	9131	answered
libreoffice_calc/21ab7b40-77c2-4ae6-8321-e00d3a086c73	21763	473	14137	answered
vlc/aa4b5023-aef6-4ed9-bdc9-705f59ab9ad6	12186	473	7410	answered
libreoffice_calc/357ef137-7eeb-4c80-a3bb-0951f26a8aff	9169	473	5557	answered
gimp/734d6579-c07d-47a8-9ae2-13339795476b	17412	473	11180	answered
vlc/d06f0d4d-2cd5-4ede-8de9-598629438c6e	18642	473	11963	answered
libreoffice_calc/0326d92d-d218-48a8-9ca1-981cd6d064c7	44586	473	29647	answered
multi_apps/58565672-7bfe-48ab-b828-db349231de6b	11658	473	6929	answered
libreoffice_impress/15aece23-a215-4579-91b4-69eec72e18da	15172	473	9673	answered
multi_apps/ce2b64a2-ddc1-4f91-8c7d-a88be7121aac	15475	473	9469	answered
chrome/06fe7178-4491-4589-810f-2e2bc9502122	4984	473	2833	answered
libreoffice_calc/0a2e43bf-b26c-4631-a966-af9dfa12c9e5	24646	473	16204	answered
chrome/7f52cab9-535c-4835-ac8c-391ee64dc930	52750	473		max_tokens_exceeded
multi_apps/869de13e-bef9-4b91-ba51-f6708c40b096	23028	473	14240	answered
vs_code/0ed39f63-6049-43d4-ba4d-5fa2fe04a951	8592	473	5233	answered
libreoffice_writer/ecc2413d-8a48-416e-a3a2-d30106ca36cb	14748	473	9149	answered
os/4d117223-a354-47fb-8b45-62ab1390a95f	6290	473	3646	answered
multi_apps/69acbb55-d945-4927-a87b-8480e1a5bb7e	15037	473	8926	answered
multi_apps/937087b6-f668-4ba6-9110-60682ee33441	10882	473	6560	answered
multi_apps/20236825-b5df-46e7-89bf-62e1d640a897	17368	473	10834	answered
chrome/7a5a7856-f1b6-42a4-ade9-1ca81ca0f263	8163	473	5051	answered
multi_apps/236833a3-5704-47fc-888c-4f298f09f799	35391	473	24241	answered
libreoffice_impress/c59742c0-4323-4b9d-8a02-723c251deaa0	15199	473	9367	answered
multi_apps/0e5303d4-8820-42f6-b18d-daf7e633de21	27262	473	17649	answered
chrome/c1fa57f3-c3db-4596-8f09-020701085416	8693	473	5267	answered
multi_apps/e1fc0df3-c8b9-4ee7-864c-d0b590d3aa56	50937	473		max_tokens_exceeded
vlc/59f21cfb-0120-4326-b255-a5b827b38967	8562	473	5169	answered
libreoffice_impress/39be0d19-634d-4475-8768-09c130f5425d	11854	473	7670	answered
gimp/d52d6308-ec58-42b7-a2c9-de80e4837b2b	43939	473	28937	answered
libreoffice_calc/0bf05a7d-b28b-44d2-955a-50b41e24012a	14487	473	8963	answered
libreoffice_calc/f9584479-3d0d-4c79-affa-9ad7afdd8850	15114	473	9776	answered
libreoffice_calc/26a8440e-c166-4c50-aef4-bfb77314b46b	20577	473	13377	answered
vs_code/57242fad-77ca-454f-b71b-f187181a9f23	9445	473	5860	answered
thunderbird/3f49d2cc-f400-4e7d-90cc-9b18e401cc31	20310	473	12637	answered
thunderbird/3f28fe4f-5d9d-4994-a456-efd78cfae1a3	9529	473	5706	answered
chrome/f3b19d1e-2d48-44e9-b4e1-defcae1a0197	8115	473	4847	answered
multi_apps/1f18aa87-af6f-41ef-9853-cdb8f32ebdea	21547	473	13579	answered
multi_apps/ee9a3c83-f437-4879-8918-be5efbb9fac7	10532	473	5842	answered
libreoffice_impress/9cf05d24-6bd9-4dae-8967-f67d88f5d38a	12688	473	7982	answered
multi_apps/873cafdd-a581-47f6-8b33-b9696ddb7b05	33935	473	22302	answered
chrome/b070486d-e161-459b-aa2b-ef442d973b92	8689	473	5208	answered
os/5c1075ca-bb34-46a3-a7a0-029bd7463e79	8283	473	4901	answered
multi_apps/3f05f3b9-29ba-4b6b-95aa-2204697ffc06	20449	473	12830	answered
libreoffice_impress/550ce7e7-747b-495f-b122-acdc4d0b8e54	16618	473	10172	answered
vs_code/6ed0a554-cbee-4b44-84ea-fd6c042f4fe1	13746	473	8649	answered
chrome/0d8b7de3-e8de-4d86-b9fd-dd2dce58a217	10390	473	6343	answered
thunderbird/dfac9ee8-9bc4-4cdc-b465-4a4bfcd2f397	13169	473	8065	answered
multi_apps/3c8f201a-009d-4bbe-8b65-a6f8b35bb57f	18131	473	11649	answered
vs_code/eabc805a-bfcf-4460-b250-ac92135819f6	9931	473	5833	answered
vs_code/9d425400-e9b2-4424-9a4b-d4c7abac4140	6760	473	3850	answered
multi_apps/337d318b-aa07-4f4f-b763-89d9a2dd013f	14650	473	8998	answered
libreoffice_impress/358aa0a7-6677-453f-ae35-e440f004c31e	85052	473		max_tokens_exceeded
chrome/fc6d8143-9452-4171-9459-7f515143419a	16990	473	10674	answered
vlc/8ba5ae7a-5ae5-4eab-9fcc-5dd4fe3abf89	11077	473	6816	answered
os/23393935-50c7-4a86-aeea-2b78fd089c5c	5754	473	2991	answered
libreoffice_impress/9ec204e4-f0a3-42f8-8458-b772a6797cab	14880	473	9298	answered
multi_apps/e8172110-ec08-421b-a6f5-842e6451911f	31228	473	19955	answered
libreoffice_calc/aa3a8974-2e85-438b-b29e-a64df44deb4b	18099	473	11292	answered
libreoffice_writer/88fe4b2d-3040-4c70-9a70-546a47764b48	19998	473	12550	answered
os/37887e8c-da15-4192-923c-08fa390a176d	7641	473	4198	answered
multi_apps/df67aebb-fb3a-44fd-b75b-51b6012df509	12471	473	7042	answered
multi_apps/deec51c9-3b1e-4b9e-993c-4776f20e8bb2	57704	473		max_tokens_exceeded
vlc/a5bbbcd5-b398-4c91-83d4-55e1e31bbb81	17649	473	11097	answered
libreoffice_impress/57667013-ea97-417c-9dce-2713091e6e2a	26831	473	17796	answered
multi_apps/d68204bf-11c1-4b13-b48b-d303c73d4bf6	10194	473	5869	answered
libreoffice_calc/7e429b8d-a3f0-4ed0-9b58-08957d00b127	11889	473	7153	answered
multi_apps/26150609-0da3-4a7d-8868-0faf9c5f01bb	11872	473	6658	answered
thunderbird/10a730d5-d414-4b40-b479-684bed1ae522	12557	473	7446	answered
gimp/72f83cdc-bf76-4531-9a1b-eb893a13f8aa	10486	473	6555	answered
libreoffice_writer/0810415c-bde4-4443-9047-d5f70165a697	14366	473	9205	answered
libreoffice_calc/4f07fbe9-70de-4927-a4d5-bb28bc12c52c	11065	473	6804	answered
chrome/82279c77-8fc6-46f6-9622-3ba96f61b477	40254	473	26323	answered
libreoffice_calc/1d17d234-e39d-4ed7-b46f-4417922a4e7c	23742	473	15795	answered
chrome/bb5e4c0d-f964-439c-97b6-bdb9747de3f4	11062	473	6634	answered
