path	rc	count	seconds	prerequisite	status
work/jev-triage/baseline.test.mjs	0	14	0.14		PASS
work/nev-injection/seat-guard.test.mjs	0	9	0.17		PASS
work/nev-rerank/test/live.test.mjs	1		0.11	npm ci --prefix work/sdk	SKIP
work/nev-rerank/test/rank.test.mjs	0	7	0.11		PASS
work/omp-guard-rule/guard-rule.test.mjs	0	5	0.16		PASS
work/omp-harm-rule/harm-error.test.mjs	0	2	0.16		PASS
work/omp-harm-rule/harm-exec-data.test.mjs	0	3	0.17		PASS
work/omp-jev-commit/test/commit.test.mjs	0	6	0.21		PASS
work/omp-jev-default/test/default.test.mjs	1	1	0.17	npm ci --prefix work/sdk	SKIP
work/omp-jev-failure/test/failure.test.mjs	0	5	0.17		PASS
work/omp-jev-field/test/field.test.mjs	1	1	0.17	npm ci --prefix work/sdk	SKIP
work/omp-jev-firstlook/test/firstlook.test.mjs	1	1	0.17	npm ci --prefix work/sdk	SKIP
work/omp-jev-foreman/test/foreman.test.mjs	0	4	0.17		PASS
work/omp-jev-fork/test/fork.test.mjs	1	1	0.17	npm ci --prefix work/sdk	SKIP
work/omp-jev-heat/test/heat.test.mjs	1	1	0.16	npm ci --prefix work/sdk	SKIP
work/omp-jev-heckle/test/heckle.test.mjs	1	1	0.16	npm ci --prefix work/sdk	SKIP
work/omp-jev-jargon/test/jargon.test.mjs	1	1	0.16	npm ci --prefix work/sdk	SKIP
work/omp-jev-observer/test/emits-rows.test.mjs	0	5	0.17		PASS
work/omp-jev-observer/test/observer.test.mjs	0	8	0.18		PASS
work/omp-jev-observer/test/screen-log.test.mjs	0	4	0.14		PASS
work/omp-jev-preaction/test/preaction.test.mjs	0	6	0.16		PASS
work/omp-jev-promise/test/promise.test.mjs	1	1	0.16	npm ci --prefix work/sdk	SKIP
work/omp-jev-rerank/test/rerank.test.mjs	1	7	0.17	npm ci --prefix work/sdk	SKIP
work/omp-jev-review/behaviour-label.test.mjs	0	6	1.13		PASS
work/omp-jev-review/test/review.test.mjs	1	1	0.16	npm ci --prefix work/sdk	SKIP
work/omp-jev-route/shadow-32.test.mjs	0	5	0.13		PASS
work/omp-jev-route/test/gate.test.mjs	0	5	0.14		PASS
work/omp-jev-route/test/process.test.mjs	0	14	0.14		PASS
work/omp-jev-route/test/route.test.mjs	0	4	0.17		PASS
work/omp-jev-route/turns-32.test.mjs	0	3	0.17		PASS
work/omp-jev-skip/test/skip.test.mjs	1	1	0.16	npm ci --prefix work/sdk	SKIP
work/omp-jev-uncanny/test/uncanny.test.mjs	1	1	0.17	npm ci --prefix work/sdk	SKIP
work/omp-jev-undo/test/undo.test.mjs	1	1	0.17	npm ci --prefix work/sdk	SKIP
work/openrouter-incumbents/test_run.py			0.00	vendored clone upstream/typesafe-ai/system-one-adapter-python absent	SKIP
work/openrouter/test_provider.py			0.00	vendored clone upstream/typesafe-ai/system-one-adapter-python absent	SKIP
work/skillranker-eval/test/contract.test.mjs	0	12	0.16		PASS
work/sr-adopt/test_matrix_status.py	0	6	0.19		PASS
work/sr-adopt/test_phase_gate.py	0	2	0.05		PASS
work/sr-adopt/test_prereg.py	0	6	9.30		PASS
work/sr-adopt/test_runner_gates.py	0	3	1.87		PASS
work/taste-loop/test/detect.test.mjs	0	9	0.14		PASS
work/toolcall-judge-v3/rules-v4.test.mjs	0	14	0.14		PASS
work/two-bit/test/two-bit.test.mjs	0	5	0.31		PASS
